schedule_index,model_candidate_id,scenario_id,trial_number,candidate_count,scenario_outcome_class,scored
1,qwen2_5_7b_instruct_gguf_q4_k_m,cal-xss-001,1,4,vulnerable,True
2,qwen2_5_7b_instruct_gguf_q4_k_m,cal-xss-001,2,4,vulnerable,True
3,qwen2_5_7b_instruct_gguf_q4_k_m,cal-xss-001,3,4,vulnerable,True
4,qwen2_5_7b_instruct_gguf_q4_k_m,cal-xss-002,1,5,vulnerable,True
5,qwen2_5_7b_instruct_gguf_q4_k_m,cal-xss-002,2,5,vulnerable,True
6,qwen2_5_7b_instruct_gguf_q4_k_m,cal-xss-002,3,5,vulnerable,True
7,qwen2_5_7b_instruct_gguf_q4_k_m,cal-xss-003,1,6,vulnerable,True
8,qwen2_5_7b_instruct_gguf_q4_k_m,cal-xss-003,2,6,vulnerable,True
9,qwen2_5_7b_instruct_gguf_q4_k_m,cal-xss-003,3,6,vulnerable,True
10,qwen2_5_7b_instruct_gguf_q4_k_m,cal-xss-004,1,7,vulnerable,True
11,qwen2_5_7b_instruct_gguf_q4_k_m,cal-xss-004,2,7,vulnerable,True
12,qwen2_5_7b_instruct_gguf_q4_k_m,cal-xss-004,3,7,vulnerable,True
13,qwen2_5_7b_instruct_gguf_q4_k_m,cal-xss-005,1,5,negative,True
14,qwen2_5_7b_instruct_gguf_q4_k_m,cal-xss-005,2,5,negative,True
15,qwen2_5_7b_instruct_gguf_q4_k_m,cal-xss-005,3,5,negative,True
16,qwen2_5_7b_instruct_gguf_q4_k_m,cal-xss-006,1,6,negative,True
17,qwen2_5_7b_instruct_gguf_q4_k_m,cal-xss-006,2,6,negative,True
18,qwen2_5_7b_instruct_gguf_q4_k_m,cal-xss-006,3,6,negative,True
19,phi3_5_mini_instruct_gguf_q4_k_m,cal-xss-001,1,4,vulnerable,True
20,phi3_5_mini_instruct_gguf_q4_k_m,cal-xss-001,2,4,vulnerable,True
21,phi3_5_mini_instruct_gguf_q4_k_m,cal-xss-001,3,4,vulnerable,True
22,phi3_5_mini_instruct_gguf_q4_k_m,cal-xss-002,1,5,vulnerable,True
23,phi3_5_mini_instruct_gguf_q4_k_m,cal-xss-002,2,5,vulnerable,True
24,phi3_5_mini_instruct_gguf_q4_k_m,cal-xss-002,3,5,vulnerable,True
25,phi3_5_mini_instruct_gguf_q4_k_m,cal-xss-003,1,6,vulnerable,True
26,phi3_5_mini_instruct_gguf_q4_k_m,cal-xss-003,2,6,vulnerable,True
27,phi3_5_mini_instruct_gguf_q4_k_m,cal-xss-003,3,6,vulnerable,True
28,phi3_5_mini_instruct_gguf_q4_k_m,cal-xss-004,1,7,vulnerable,True
29,phi3_5_mini_instruct_gguf_q4_k_m,cal-xss-004,2,7,vulnerable,True
30,phi3_5_mini_instruct_gguf_q4_k_m,cal-xss-004,3,7,vulnerable,True
31,phi3_5_mini_instruct_gguf_q4_k_m,cal-xss-005,1,5,negative,True
32,phi3_5_mini_instruct_gguf_q4_k_m,cal-xss-005,2,5,negative,True
33,phi3_5_mini_instruct_gguf_q4_k_m,cal-xss-005,3,5,negative,True
34,phi3_5_mini_instruct_gguf_q4_k_m,cal-xss-006,1,6,negative,True
35,phi3_5_mini_instruct_gguf_q4_k_m,cal-xss-006,2,6,negative,True
36,phi3_5_mini_instruct_gguf_q4_k_m,cal-xss-006,3,6,negative,True
37,mistral_7b_instruct_v0_3_gguf_q4_k_m,cal-xss-001,1,4,vulnerable,True
38,mistral_7b_instruct_v0_3_gguf_q4_k_m,cal-xss-001,2,4,vulnerable,True
39,mistral_7b_instruct_v0_3_gguf_q4_k_m,cal-xss-001,3,4,vulnerable,True
40,mistral_7b_instruct_v0_3_gguf_q4_k_m,cal-xss-002,1,5,vulnerable,True
41,mistral_7b_instruct_v0_3_gguf_q4_k_m,cal-xss-002,2,5,vulnerable,True
42,mistral_7b_instruct_v0_3_gguf_q4_k_m,cal-xss-002,3,5,vulnerable,True
43,mistral_7b_instruct_v0_3_gguf_q4_k_m,cal-xss-003,1,6,vulnerable,True
44,mistral_7b_instruct_v0_3_gguf_q4_k_m,cal-xss-003,2,6,vulnerable,True
45,mistral_7b_instruct_v0_3_gguf_q4_k_m,cal-xss-003,3,6,vulnerable,True
46,mistral_7b_instruct_v0_3_gguf_q4_k_m,cal-xss-004,1,7,vulnerable,True
47,mistral_7b_instruct_v0_3_gguf_q4_k_m,cal-xss-004,2,7,vulnerable,True
48,mistral_7b_instruct_v0_3_gguf_q4_k_m,cal-xss-004,3,7,vulnerable,True
49,mistral_7b_instruct_v0_3_gguf_q4_k_m,cal-xss-005,1,5,negative,True
50,mistral_7b_instruct_v0_3_gguf_q4_k_m,cal-xss-005,2,5,negative,True
51,mistral_7b_instruct_v0_3_gguf_q4_k_m,cal-xss-005,3,5,negative,True
52,mistral_7b_instruct_v0_3_gguf_q4_k_m,cal-xss-006,1,6,negative,True
53,mistral_7b_instruct_v0_3_gguf_q4_k_m,cal-xss-006,2,6,negative,True
54,mistral_7b_instruct_v0_3_gguf_q4_k_m,cal-xss-006,3,6,negative,True
55,gemma3_4b_it_gguf_q4_k_m,cal-xss-001,1,4,vulnerable,True
56,gemma3_4b_it_gguf_q4_k_m,cal-xss-001,2,4,vulnerable,True
57,gemma3_4b_it_gguf_q4_k_m,cal-xss-001,3,4,vulnerable,True
58,gemma3_4b_it_gguf_q4_k_m,cal-xss-002,1,5,vulnerable,True
59,gemma3_4b_it_gguf_q4_k_m,cal-xss-002,2,5,vulnerable,True
60,gemma3_4b_it_gguf_q4_k_m,cal-xss-002,3,5,vulnerable,True
61,gemma3_4b_it_gguf_q4_k_m,cal-xss-003,1,6,vulnerable,True
62,gemma3_4b_it_gguf_q4_k_m,cal-xss-003,2,6,vulnerable,True
63,gemma3_4b_it_gguf_q4_k_m,cal-xss-003,3,6,vulnerable,True
64,gemma3_4b_it_gguf_q4_k_m,cal-xss-004,1,7,vulnerable,True
65,gemma3_4b_it_gguf_q4_k_m,cal-xss-004,2,7,vulnerable,True
66,gemma3_4b_it_gguf_q4_k_m,cal-xss-004,3,7,vulnerable,True
67,gemma3_4b_it_gguf_q4_k_m,cal-xss-005,1,5,negative,True
68,gemma3_4b_it_gguf_q4_k_m,cal-xss-005,2,5,negative,True
69,gemma3_4b_it_gguf_q4_k_m,cal-xss-005,3,5,negative,True
70,gemma3_4b_it_gguf_q4_k_m,cal-xss-006,1,6,negative,True
71,gemma3_4b_it_gguf_q4_k_m,cal-xss-006,2,6,negative,True
72,gemma3_4b_it_gguf_q4_k_m,cal-xss-006,3,6,negative,True
