adapter_class,baseline_stable,candidate_id,expected_runtime_requests,finding_state,ground_truth_used_phase,request_count,schema_version,sequence,server_error_observed,status,true_false_difference_reproducible
form,True,os15-c000003,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,1,False,completed,True
multi_query,True,os15-c000005,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,2,False,completed,True
multi_form,True,os15-c000008,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,3,False,completed,True
multi_form,True,os15-c000010,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,4,False,completed,False
cookie,True,os15-c000015,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,5,False,completed,False
cookie,True,os15-c000016,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,6,False,completed,False
cookie,True,os15-c000020,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,7,False,completed,False
cookie,True,os15-c000021,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,8,False,completed,False
cookie,True,os15-c000023,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,9,False,completed,False
cookie,True,os15-c000024,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,10,False,completed,False
cookie,True,os15-c000025,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,11,False,completed,False
header,True,os15-c000034,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,12,False,completed,True
header,True,os15-c000051,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,13,False,completed,False
header,True,os15-c000052,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,14,False,completed,False
header,True,os15-c000053,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,15,False,completed,False
header,True,os15-c000054,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,16,False,completed,False
header,True,os15-c000055,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,17,False,completed,True
header,True,os15-c000059,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,18,False,completed,True
header,True,os15-c000062,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,19,False,completed,True
header,True,os15-c000063,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,20,False,completed,False
header,True,os15-c000064,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,21,False,completed,False
multi_form,True,os15-c000065,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,22,False,completed,True
multi_form,True,os15-c000066,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,23,False,completed,True
form,True,os15-c000067,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,24,False,completed,False
form,True,os15-c000072,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,25,False,completed,True
form,True,os15-c000073,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,26,False,completed,False
multi_query,True,os15-c000074,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,27,False,completed,False
multi_form,True,os15-c000075,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,28,False,completed,True
multi_form,True,os15-c000076,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,29,False,completed,True
multi_query,True,os15-c000082,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,30,False,completed,True
multi_form,True,os15-c000083,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,31,False,completed,False
multi_form,True,os15-c000084,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,32,False,completed,False
form,True,os15-c000085,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,33,False,completed,True
form,True,os15-c000086,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,34,False,completed,True
multi_query,True,os15-c000087,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,35,False,completed,False
multi_form,True,os15-c000092,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,36,False,completed,False
multi_form,True,os15-c000093,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,37,False,completed,False
multi_form,True,os15-c000094,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,38,False,completed,False
multi_form,True,os15-c000095,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,39,False,completed,False
multi_form,True,os15-c000096,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,40,False,completed,False
multi_form,True,os15-c000103,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,41,False,completed,False
multi_form,True,os15-c000105,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,42,False,completed,False
form,True,os15-c000109,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,43,False,completed,True
multi_query,True,os15-c000110,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,44,False,completed,False
multi_form,True,os15-c000111,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,45,False,completed,False
multi_form,True,os15-c000112,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,46,False,completed,False
multi_form,True,os15-c000116,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,47,False,completed,False
multi_form,True,os15-c000117,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,48,False,completed,True
form,True,os15-c000122,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,49,False,completed,False
multi_form,True,os15-c000129,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,50,False,completed,True
multi_form,True,os15-c000130,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,51,False,completed,True
form,True,os15-c000131,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,52,False,completed,False
multi_query,True,os15-c000135,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,53,False,completed,False
multi_query,True,os15-c000136,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,54,False,completed,True
multi_query,True,os15-c000142,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,55,False,completed,True
multi_query,True,os15-c000145,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,56,False,completed,True
multi_query,True,os15-c000146,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,57,False,completed,True
multi_query,True,os15-c000147,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,58,False,completed,True
form,True,os15-c000150,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,59,False,completed,False
form,True,os15-c000151,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,60,False,completed,False
multi_query,True,os15-c000152,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,61,False,completed,False
multi_form,True,os15-c000153,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,62,False,completed,False
multi_form,True,os15-c000154,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,63,False,completed,False
multi_query,True,os15-c000162,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,64,False,completed,False
multi_form,True,os15-c000163,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,65,False,completed,False
cookie,True,os15-c000171,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,66,False,completed,False
cookie,True,os15-c000174,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,67,False,completed,False
cookie,True,os15-c000178,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,68,False,completed,False
cookie,True,os15-c000179,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,69,False,completed,False
cookie,True,os15-c000181,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,70,False,completed,False
header,True,os15-c000183,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,71,False,completed,True
header,True,os15-c000184,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,72,False,completed,True
header,True,os15-c000190,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,73,False,completed,True
header,True,os15-c000191,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,74,False,completed,True
header,True,os15-c000192,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,75,False,completed,False
header,True,os15-c000193,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,76,False,completed,True
header,True,os15-c000194,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,77,False,completed,True
header,True,os15-c000195,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,78,False,completed,False
header,True,os15-c000200,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,79,False,completed,True
header,True,os15-c000201,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,80,False,completed,True
header,True,os15-c000202,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,81,False,completed,True
header,True,os15-c000203,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,82,False,completed,False
header,True,os15-c000207,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,83,False,completed,False
header,True,os15-c000209,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,84,False,completed,False
header,True,os15-c000210,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,85,False,completed,False
multi_query,True,os15-c000216,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,86,False,completed,False
multi_form,True,os15-c000217,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,87,False,completed,True
multi_form,True,os15-c000218,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,88,False,completed,False
form,True,os15-c000219,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,89,False,completed,True
form,True,os15-c000220,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,90,False,completed,False
multi_form,True,os15-c000223,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,91,False,completed,False
form,True,os15-c000224,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,92,False,completed,True
form,True,os15-c000225,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,93,False,completed,True
form,True,os15-c000232,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,94,False,completed,True
form,True,os15-c000233,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,95,False,completed,True
multi_query,True,os15-c000234,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,96,False,completed,True
multi_form,True,os15-c000235,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,97,False,completed,True
multi_form,True,os15-c000236,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,98,False,completed,False
form,True,os15-c000242,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,99,False,completed,True
form,True,os15-c000243,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,100,False,completed,False
