scenario_id,scenario_type,candidate_count,top_k,candidate_test_budget,focal_vulnerable_candidate_id
os15-s0001,positive,5,4,4,os15-c000446
os15-s0002,positive,5,4,4,os15-c000023
os15-s0003,positive,5,4,4,os15-c000086
os15-s0004,positive,5,4,4,os15-c000005
os15-s0005,positive,5,4,4,os15-c000010
os15-s0006,positive,5,4,4,os15-c000262
os15-s0007,positive,5,4,4,os15-c000232
os15-s0008,positive,5,4,4,os15-c000202
os15-s0009,positive,5,4,4,os15-c000415
os15-s0010,positive,5,4,4,os15-c000482
os15-s0011,positive,5,4,4,os15-c000365
os15-s0012,positive,5,4,4,os15-c000273
os15-s0013,positive,5,4,4,os15-c000082
os15-s0014,positive,5,4,4,os15-c000072
os15-s0015,positive,5,4,4,os15-c000105
os15-s0016,positive,5,4,4,os15-c000174
os15-s0017,positive,5,4,4,os15-c000468
os15-s0018,positive,5,4,4,os15-c000292
os15-s0019,positive,5,4,4,os15-c000253
os15-s0020,positive,5,4,4,os15-c000291
os15-s0021,positive,5,4,4,os15-c000353
os15-s0022,positive,5,4,4,os15-c000465
os15-s0023,positive,5,4,4,os15-c000334
os15-s0024,positive,5,4,4,os15-c000075
os15-s0025,positive,5,4,4,os15-c000055
os15-s0026,positive,5,4,4,os15-c000409
os15-s0027,positive,5,4,4,os15-c000267
os15-s0028,positive,5,4,4,os15-c000184
os15-s0029,positive,5,4,4,os15-c000066
os15-s0030,positive,5,4,4,os15-c000477
os15-s0031,positive,5,4,4,os15-c000283
os15-s0032,positive,5,4,4,os15-c000454
os15-s0033,positive,5,4,4,os15-c000076
os15-s0034,positive,5,4,4,os15-c000183
os15-s0035,positive,5,4,4,os15-c000445
os15-s0036,positive,5,4,4,os15-c000394
os15-s0037,positive,5,4,4,os15-c000242
os15-s0038,positive,5,4,4,os15-c000272
os15-s0039,positive,5,4,4,os15-c000480
os15-s0040,positive,5,4,4,os15-c000234
os15-s0041,positive,5,4,4,os15-c000356
os15-s0042,positive,5,4,4,os15-c000354
os15-s0043,positive,5,4,4,os15-c000016
os15-s0044,positive,5,4,4,os15-c000024
os15-s0045,positive,5,4,4,os15-c000387
os15-s0046,positive,5,4,4,os15-c000304
os15-s0047,positive,5,4,4,os15-c000147
os15-s0048,positive,5,4,4,os15-c000021
os15-s0049,positive,5,4,4,os15-c000274
os15-s0050,positive,5,4,4,os15-c000094
os15-s0051,positive,5,4,4,os15-c000008
os15-s0052,positive,5,4,4,os15-c000371
os15-s0053,positive,5,4,4,os15-c000145
os15-s0054,positive,5,4,4,os15-c000003
os15-s0055,positive,5,4,4,os15-c000224
os15-s0056,positive,5,4,4,os15-c000146
os15-s0057,positive,5,4,4,os15-c000190
os15-s0058,positive,5,4,4,os15-c000225
os15-s0059,positive,5,4,4,os15-c000486
os15-s0060,positive,5,4,4,os15-c000015
os15-s0061,positive,5,4,4,os15-c000096
os15-s0062,positive,5,4,4,os15-c000302
os15-s0063,positive,5,4,4,os15-c000423
os15-s0064,positive,5,4,4,os15-c000386
os15-s0065,positive,5,4,4,os15-c000065
os15-s0066,positive,5,4,4,os15-c000200
os15-s0067,positive,5,4,4,os15-c000201
os15-s0068,positive,5,4,4,os15-c000352
os15-s0069,positive,5,4,4,os15-c000136
os15-s0070,positive,5,4,4,os15-c000484
os15-s0071,positive,5,4,4,os15-c000483
os15-s0072,positive,5,4,4,os15-c000363
os15-s0073,positive,5,4,4,os15-c000219
os15-s0074,positive,5,4,4,os15-c000085
os15-s0075,positive,5,4,4,os15-c000444
os15-s0076,positive,5,4,4,os15-c000178
os15-s0077,positive,5,4,4,os15-c000062
os15-s0078,positive,5,4,4,os15-c000443
os15-s0079,positive,5,4,4,os15-c000282
os15-s0080,positive,5,4,4,os15-c000181
os15-s0081,positive,5,4,4,os15-c000117
os15-s0082,positive,5,4,4,os15-c000425
os15-s0083,positive,5,4,4,os15-c000436
os15-s0084,positive,5,4,4,os15-c000395
os15-s0085,positive,5,4,4,os15-c000235
os15-s0086,positive,5,4,4,os15-c000453
os15-s0087,positive,5,4,4,os15-c000092
os15-s0088,positive,5,4,4,os15-c000233
os15-s0089,positive,5,4,4,os15-c000194
os15-s0090,positive,5,4,4,os15-c000130
os15-s0091,positive,5,4,4,os15-c000478
os15-s0092,positive,5,4,4,os15-c000191
os15-s0093,positive,5,4,4,os15-c000217
os15-s0094,positive,5,4,4,os15-c000307
os15-s0095,positive,5,4,4,os15-c000306
os15-s0096,positive,5,4,4,os15-c000142
os15-s0097,positive,5,4,4,os15-c000361
os15-s0098,positive,5,4,4,os15-c000059
os15-s0099,positive,5,4,4,os15-c000129
os15-s0100,positive,5,4,4,os15-c000095
os15-s0101,positive,5,4,4,os15-c000034
os15-s0102,positive,5,4,4,os15-c000193
os15-s0103,positive,5,4,4,os15-c000357
os15-s0104,positive,5,4,4,os15-c000109
os15-s0105,positive,5,4,4,os15-c000179
os15-s0106,negative_only,5,4,4,not_applicable
os15-s0107,negative_only,5,4,4,not_applicable
os15-s0108,negative_only,5,4,4,not_applicable
os15-s0109,negative_only,5,4,4,not_applicable
os15-s0110,negative_only,5,4,4,not_applicable
os15-s0111,negative_only,5,4,4,not_applicable
os15-s0112,negative_only,5,4,4,not_applicable
os15-s0113,negative_only,5,4,4,not_applicable
os15-s0114,negative_only,5,4,4,not_applicable
os15-s0115,negative_only,5,4,4,not_applicable
os15-s0116,negative_only,5,4,4,not_applicable
os15-s0117,negative_only,5,4,4,not_applicable
os15-s0118,negative_only,5,4,4,not_applicable
os15-s0119,negative_only,5,4,4,not_applicable
os15-s0120,negative_only,5,4,4,not_applicable
os15-s0121,negative_only,5,4,4,not_applicable
os15-s0122,negative_only,5,4,4,not_applicable
os15-s0123,negative_only,5,4,4,not_applicable
os15-s0124,negative_only,5,4,4,not_applicable
