benchmark_case_id,benchmark_name,benchmark_version,benchmark_revision,source_file,label_source,vulnerability_label,expected_result,cwe,ground_truth_granularity,endpoint,crawler_url,request_shape,source_request_method,input_carrier_shape,primary_input_carrier,controllable_input_count,controllable_input_names,content_type,sql_operation_category,sql_operation_markers,read_write_category,execution_api,response_observability,boolean_verifier_applicability,transport_compatibility,sql_verifier_compatibility,compatibility_class,eligible_original_external_evaluation,eligible_candidate_ranking,required_adapter,adapter_requirements,incompatibility_reason,classification_reason,candidate_representation_support,candidate_representation_gap,sanitization_required,sanitized_candidate_id,sanitized_action_path,retained_model_facing_fields,excluded_from_model_input_fields,model_facing_preview,audit_status,auditor_notes
BenchmarkTest00008,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00008.java,expectedresults-1.2.csv,sqli,vulnerable,89,case_level,/sqli-00/BenchmarkTest00008,https://localhost:8443/benchmark/sqli-00/BenchmarkTest00008,header,GET_delegates_to_POST,header,header,1,BenchmarkTest00008,text/html;charset=UTF-8,stored_procedure,stored_procedure;execute_query,stored_procedure_ambiguous,executeQuery;prepareCall,result_rows_written,not_applicable_stored_procedure_ambiguous,adapter_feasible,not_applicable_stored_procedure_ambiguous,EXCLUDED,false,false,header_adapter,set deterministic request headers without exposing original BenchmarkTest names to the ranker,stored procedure behavior cannot be assumed read-only by static audit,stored procedure behavior cannot be assumed read-only by static audit,not_applicable,no_ranker_candidate_for_incompatible_case,not_applicable,,,,benchmark_case_id;expected_result;ground_truth;label;query_text;source_file;sql_operation_category;sql_statement;vulnerability_label,,audited,stored procedure call statically detected
BenchmarkTest00018,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00018.java,expectedresults-1.2.csv,sqli,vulnerable,89,case_level,/sqli-00/BenchmarkTest00018,https://localhost:8443/benchmark/sqli-00/BenchmarkTest00018,header,GET_delegates_to_POST,header,header,1,BenchmarkTest00018,text/html;charset=UTF-8,insert,insert;execute_update,write_or_state_changing,executeUpdate,writer_output_detected,not_applicable_non_destructive_conflict,adapter_feasible,not_applicable_non_destructive_conflict,EXCLUDED,false,false,header_adapter,set deterministic request headers without exposing original BenchmarkTest names to the ranker,write/state-changing SQL conflicts with non-destructive verifier philosophy,write/state-changing SQL conflicts with non-destructive verifier philosophy,not_applicable,no_ranker_candidate_for_incompatible_case,not_applicable,,,,benchmark_case_id;expected_result;ground_truth;label;query_text;source_file;sql_operation_category;sql_statement;vulnerability_label,,audited,executeUpdate call statically detected
BenchmarkTest00024,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00024.java,expectedresults-1.2.csv,sqli,vulnerable,89,case_level,/sqli-00/BenchmarkTest00024,https://localhost:8443/benchmark/sqli-00/BenchmarkTest00024,POST_form,GET_delegates_to_POST,formparam,formparam,1,BenchmarkTest00024,text/html;charset=UTF-8,select_like,select;prepared_statement,read_like,execute;prepareStatement,result_rows_written,plausible_runtime_validation_required,adapter_feasible,plausible_runtime_validation_required,ADAPTER_SUPPORTED,true,true,form_parameter_adapter,submit original form parameters with deterministic values,,original case may be preserved with deterministic transport adapter; runtime boolean validation still required,proposed_schema,,true,os15-c000003,/external-v15/case-000003,candidate_id;sanitized_action_path;http_method;input_carrier;input_count_category;editable_input_count;multiple_parameters;transport_adapter_category;request_shape,benchmark_case_id;expected_result;ground_truth;label;query_text;source_file;sql_operation_category;sql_statement;vulnerability_label,"{""candidate_id"": ""os15-c000003"", ""editable_input_count"": 1, ""http_method"": ""POST_or_request_metadata"", ""input_carrier"": ""form_parameter"", ""input_count_category"": ""single"", ""multiple_parameters"": false, ""request_shape"": ""form"", ""sanitized_action_path"": ""/external-v15/case-000003"", ""transport_adapter_category"": ""form""}",audited,static source inspection completed
BenchmarkTest00025,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00025.java,expectedresults-1.2.csv,sqli,vulnerable,89,case_level,/sqli-00/BenchmarkTest00025,https://localhost:8443/benchmark/sqli-00/BenchmarkTest00025,POST_form,GET_delegates_to_POST,formparam,formparam,1,BenchmarkTest00025,text/html;charset=UTF-8,select_like,select,read_like,unknown,writer_output_detected,manual_review_required,adapter_feasible,manual_review_required,MANUAL_REVIEW,false,false,form_parameter_adapter,submit original form parameters with deterministic values,read-like SQL detected but static response oracle is insufficient,read-like SQL detected but static response oracle is insufficient,not_applicable,no_ranker_candidate_for_incompatible_case,not_applicable,,,,benchmark_case_id;expected_result;ground_truth;label;query_text;source_file;sql_operation_category;sql_statement;vulnerability_label,,audited,static source inspection completed
BenchmarkTest00026,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00026.java,expectedresults-1.2.csv,sqli,vulnerable,89,case_level,/sqli-00/BenchmarkTest00026,https://localhost:8443/benchmark/sqli-00/BenchmarkTest00026,GET_query,GET_delegates_to_POST,getparam+getparam+getparam,getparam,3,password;username;BenchmarkTest00026,text/html;charset=UTF-8,select_like,select,read_like,unknown,result_rows_written,plausible_runtime_validation_required,adapter_feasible,plausible_runtime_validation_required,ADAPTER_SUPPORTED,true,true,multi_query_parameter_adapter,preserve original query parameter set and replace only the audited controllable value,,original case may be preserved with deterministic transport adapter; runtime boolean validation still required,proposed_schema,,true,os15-c000005,/external-v15/case-000005,candidate_id;sanitized_action_path;http_method;input_carrier;input_count_category;editable_input_count;multiple_parameters;transport_adapter_category;request_shape,benchmark_case_id;expected_result;ground_truth;label;query_text;source_file;sql_operation_category;sql_statement;vulnerability_label,"{""candidate_id"": ""os15-c000005"", ""editable_input_count"": 3, ""http_method"": ""GET"", ""input_carrier"": ""query_parameter"", ""input_count_category"": ""small_multi"", ""multiple_parameters"": true, ""request_shape"": ""query"", ""sanitized_action_path"": ""/external-v15/case-000005"", ""transport_adapter_category"": ""query_multi""}",audited,static source inspection completed
BenchmarkTest00027,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00027.java,expectedresults-1.2.csv,sqli,vulnerable,89,case_level,/sqli-00/BenchmarkTest00027,https://localhost:8443/benchmark/sqli-00/BenchmarkTest00027,POST_form,GET_delegates_to_POST,formparam+formparam+formparam,formparam,3,password;email;BenchmarkTest00027,text/html;charset=UTF-8,insert,insert;execute_update,write_or_state_changing,executeUpdate,writer_output_detected,not_applicable_non_destructive_conflict,adapter_feasible,not_applicable_non_destructive_conflict,EXCLUDED,false,false,form_parameter_adapter;multi_form_parameter_adapter,submit original form parameters with deterministic values;preserve companion form parameters,write/state-changing SQL conflicts with non-destructive verifier philosophy,write/state-changing SQL conflicts with non-destructive verifier philosophy,not_applicable,no_ranker_candidate_for_incompatible_case,not_applicable,,,,benchmark_case_id;expected_result;ground_truth;label;query_text;source_file;sql_operation_category;sql_statement;vulnerability_label,,audited,executeUpdate call statically detected
BenchmarkTest00032,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00032.java,expectedresults-1.2.csv,sqli,vulnerable,89,case_level,/sqli-00/BenchmarkTest00032,https://localhost:8443/benchmark/sqli-00/BenchmarkTest00032,POST_form,GET_delegates_to_POST,formparam+formparam+formparam,formparam,3,password;email;BenchmarkTest00032,text/html;charset=UTF-8,select_like,select,read_like,execute,writer_output_detected,manual_review_required,adapter_feasible,manual_review_required,MANUAL_REVIEW,false,false,form_parameter_adapter;multi_form_parameter_adapter,submit original form parameters with deterministic values;preserve companion form parameters,read-like SQL detected but static response oracle is insufficient,read-like SQL detected but static response oracle is insufficient,not_applicable,no_ranker_candidate_for_incompatible_case,not_applicable,,,,benchmark_case_id;expected_result;ground_truth;label;query_text;source_file;sql_operation_category;sql_statement;vulnerability_label,,audited,static source inspection completed
BenchmarkTest00033,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00033.java,expectedresults-1.2.csv,sqli,vulnerable,89,case_level,/sqli-00/BenchmarkTest00033,https://localhost:8443/benchmark/sqli-00/BenchmarkTest00033,POST_form,GET_delegates_to_POST,formparam+formparam+formparam+formparam,formparam,4,productID;secure;foo;BenchmarkTest00033,text/html;charset=UTF-8,select_like,select,read_like,unknown,result_rows_written,plausible_runtime_validation_required,adapter_feasible,plausible_runtime_validation_required,ADAPTER_SUPPORTED,true,true,form_parameter_adapter;multi_form_parameter_adapter,submit original form parameters with deterministic values;preserve companion form parameters,,original case may be preserved with deterministic transport adapter; runtime boolean validation still required,proposed_schema,,true,os15-c000008,/external-v15/case-000008,candidate_id;sanitized_action_path;http_method;input_carrier;input_count_category;editable_input_count;multiple_parameters;transport_adapter_category;request_shape,benchmark_case_id;expected_result;ground_truth;label;query_text;source_file;sql_operation_category;sql_statement;vulnerability_label,"{""candidate_id"": ""os15-c000008"", ""editable_input_count"": 4, ""http_method"": ""POST_or_request_metadata"", ""input_carrier"": ""form_parameter"", ""input_count_category"": ""larger_multi"", ""multiple_parameters"": true, ""request_shape"": ""form"", ""sanitized_action_path"": ""/external-v15/case-000008"", ""transport_adapter_category"": ""form""}",audited,static source inspection completed
BenchmarkTest00034,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00034.java,expectedresults-1.2.csv,sqli,vulnerable,89,case_level,/sqli-00/BenchmarkTest00034,https://localhost:8443/benchmark/sqli-00/BenchmarkTest00034,POST_form,GET_delegates_to_POST,formparam,formparam,1,BenchmarkTest00034,text/html;charset=UTF-8,select_like,select,read_like,execute,result_rows_written,plausible_runtime_validation_required,adapter_feasible,plausible_runtime_validation_required,ADAPTER_SUPPORTED,true,true,form_parameter_adapter,submit original form parameters with deterministic values,,original case may be preserved with deterministic transport adapter; runtime boolean validation still required,proposed_schema,,true,os15-c000009,/external-v15/case-000009,candidate_id;sanitized_action_path;http_method;input_carrier;input_count_category;editable_input_count;multiple_parameters;transport_adapter_category;request_shape,benchmark_case_id;expected_result;ground_truth;label;query_text;source_file;sql_operation_category;sql_statement;vulnerability_label,"{""candidate_id"": ""os15-c000009"", ""editable_input_count"": 1, ""http_method"": ""POST_or_request_metadata"", ""input_carrier"": ""form_parameter"", ""input_count_category"": ""single"", ""multiple_parameters"": false, ""request_shape"": ""form"", ""sanitized_action_path"": ""/external-v15/case-000009"", ""transport_adapter_category"": ""form""}",audited,static source inspection completed
BenchmarkTest00037,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00037.java,expectedresults-1.2.csv,sqli,vulnerable,89,case_level,/sqli-00/BenchmarkTest00037,https://localhost:8443/benchmark/sqli-00/BenchmarkTest00037,POST_form,GET_delegates_to_POST,formparam+formparam,formparam,2,answer;bar,text/html;charset=UTF-8,select_like,select;prepared_statement,read_like,execute;prepareStatement,result_rows_written,plausible_runtime_validation_required,adapter_feasible,plausible_runtime_validation_required,ADAPTER_SUPPORTED,true,true,form_parameter_adapter;multi_form_parameter_adapter,submit original form parameters with deterministic values;preserve companion form parameters,,original case may be preserved with deterministic transport adapter; runtime boolean validation still required,proposed_schema,,true,os15-c000010,/external-v15/case-000010,candidate_id;sanitized_action_path;http_method;input_carrier;input_count_category;editable_input_count;multiple_parameters;transport_adapter_category;request_shape,benchmark_case_id;expected_result;ground_truth;label;query_text;source_file;sql_operation_category;sql_statement;vulnerability_label,"{""candidate_id"": ""os15-c000010"", ""editable_input_count"": 2, ""http_method"": ""POST_or_request_metadata"", ""input_carrier"": ""form_parameter"", ""input_count_category"": ""small_multi"", ""multiple_parameters"": true, ""request_shape"": ""form"", ""sanitized_action_path"": ""/external-v15/case-000010"", ""transport_adapter_category"": ""form""}",audited,static source inspection completed
