scenario_id,scenario_type,position,candidate_id,is_focal_vulnerable,candidate_order_key
os15-s0001,positive,1,os15-c000236,False,04dc90a63567f8aa3c725e672c3ee0cc5a76c1d59dae5688a06d647c3e5cba74
os15-s0001,positive,2,os15-c000452,False,3eaa82bd3ff84ea992143996a5b27605be99d7e766ba048fd7848d0554a3628b
os15-s0001,positive,3,os15-c000446,True,c515688bf9092531bb6d2c2d2bd314e4fe0341bdddc9bbb6a1fcd763ffc25f05
os15-s0001,positive,4,os15-c000112,False,da408095e70d044bdc99b5cfd581339542aabf6bf46818b66feab36e9caebcfe
os15-s0001,positive,5,os15-c000293,False,fbb8332ad95db7d59af993185d28c3315eb4378997bc039fe55c8dd0b70070ab
os15-s0002,positive,1,os15-c000203,False,03f3d99436e0885c5ba15f1ed4b2c91d594601f33d867899081d178caf835fce
os15-s0002,positive,2,os15-c000362,False,96a2930729bc0f97532cab3c012362dca0b098db536cb8f7dd58f3399a801914
os15-s0002,positive,3,os15-c000084,False,9c6ff03b78559d6881c324a6ddf08222452a17648564bea6cdb07de1736e2b6d
os15-s0002,positive,4,os15-c000152,False,fc241db2ca4f6627da5ca996b35e60987ff44858f1a7738018b37c8064b2f9ec
os15-s0002,positive,5,os15-c000023,True,fd4e56c212a4d961fe47c1ab4a31ba471ef6e3b1049eca09fc5b63952e5ce603
os15-s0003,positive,1,os15-c000020,False,1196fabbe4ff0741f4a662dc1eb867925eb2601ca47c08a2dcbb8adcd366b38c
os15-s0003,positive,2,os15-c000432,False,561a39c3912fa13452d54fb11156437c51dadd89f1dbcb0461a459b04d65c8a5
os15-s0003,positive,3,os15-c000086,True,59b29360dd0f3162440f5f9123dd8b252dc0f6b88bad1d7f3abdc74402ce6b46
os15-s0003,positive,4,os15-c000064,False,a22b4d4596991b73c9d765f9ed667e681e386fa59cb1c146787fbc3d89ec3be5
os15-s0003,positive,5,os15-c000481,False,d1e3f4b487b74b78cc28e33db3a5709af38e2b739fe327c0bdd7d21219f4fb17
os15-s0004,positive,1,os15-c000162,False,58861ca2da0dc420116ef83ab5acd12259a068c7b07846ab60df274f72fb783a
os15-s0004,positive,2,os15-c000373,False,9473775c093db8a3292f99f7afcfee5c6a0ce203596ba65d5428c1dccadb5a46
os15-s0004,positive,3,os15-c000005,True,c27b99158c9410f21b8d3c254e604601ffc400a8e7969889b5c901a3c18c0397
os15-s0004,positive,4,os15-c000153,False,d4c3f8b40c1310568e4d99d9aca996cd5717b0f2df74758778b68c9f5fd8f25b
os15-s0004,positive,5,os15-c000503,False,f6c1ec33f7cdba79e07f14c4f48b0207bd20bae49eeb0c8af3e380f4343fd2b7
os15-s0005,positive,1,os15-c000093,False,2002c2dab45c6a5c3fdc13903cf2459d9677ad113fd07e9fa4e9334b4ea4fe45
os15-s0005,positive,2,os15-c000010,True,7946049454ff0b66d459c4af76d74317a551e087a76b79e82fbaa1079964b062
os15-s0005,positive,3,os15-c000111,False,927e1d79bd00af9f3a4050124a61a70cc9a12a5eb484bb99d47c63588214fb3a
os15-s0005,positive,4,os15-c000074,False,df0a639d6e9fb685d24920118b6199d75a5c2646bb4504e3094496a7a5a0d665
os15-s0005,positive,5,os15-c000051,False,ea87125cf33ed836fb9f1250c37ec399536771585dd8f08fc5816706a20fc5ef
os15-s0006,positive,1,os15-c000329,False,09c7b399216f5eb3f2f9ecffec3002e255967f8f828e74c4b463ae0d2eb4a5e7
os15-s0006,positive,2,os15-c000358,False,2a287f843d7e6c379de82f3ae4b60309b8f99ad8dd477335650acfaeb52c9d7f
os15-s0006,positive,3,os15-c000262,True,492b02d923184daa4cbc023165a48e2a15789c004f503be0c29f0127c9559e77
os15-s0006,positive,4,os15-c000466,False,86090c39801d48ffe70db5dfc73b5a63720eeaec2e36016a7baae4eaaf29a42b
os15-s0006,positive,5,os15-c000083,False,ad7dd65af67235a3dd3da1baec353411a4ac53158064b6dce1e707a0781989fd
os15-s0007,positive,1,os15-c000223,False,0209a0cd7e864f3d5770598db28b8f2da194782701781f6a01879727faf0d7f5
os15-s0007,positive,2,os15-c000493,False,164438c82eba661b1d3386b4a152fb3fd0da6dae2414e5db7ec73bda0197fcaf
os15-s0007,positive,3,os15-c000372,False,58ac51afa1fb5284f900ab186e0de3e44666cb7c11a07e8c0aea6e2e3691ce43
os15-s0007,positive,4,os15-c000232,True,8e8e41d0a4bbd672d2738824e29f6b99e4d07ecbd448376f40b4dd353046f3bc
os15-s0007,positive,5,os15-c000410,False,a061d2b4e9c36bd5be7b513c2d6cd9ddb8e9cd0fba07c5eb6a68a7edcdb767ac
os15-s0008,positive,1,os15-c000336,False,3dbd5cea28d5de54742a314c5812b5858a10b05d36025a5421113ba0a68acc90
os15-s0008,positive,2,os15-c000192,False,82b91a079ad0e3964c82fc60f6029c33a325ecb27ddf4f9a9a535dfe943dc4f9
os15-s0008,positive,3,os15-c000087,False,a7f6e327fc2c5a07b2ef56f688027ab07c4a87b0e4eb9c67843985869b9b02fb
os15-s0008,positive,4,os15-c000455,False,c6205f07266ef663d898eaf8b02d3b1fb06d8e8b38bde56821a6e374996b372c
os15-s0008,positive,5,os15-c000202,True,e4b228be509dba078e9b79694a3338631763bd52dae321bf7c3560cf4bb838dc
os15-s0009,positive,1,os15-c000415,True,2800271cb5b0cefeae6511391886fae0e0dc502c939dc9d4e567810de5f8bd1b
