sequence,candidate_id,execution_specification_ref,adapter_class,phases,expected_runtime_requests,scored
1,os15-c000003,os15-c000003,form,"['baseline_1', 'baseline_2', 'true_1', 'true_2', 'false_1', 'false_2']",6,true
2,os15-c000005,os15-c000005,multi_query,"['baseline_1', 'baseline_2', 'true_1', 'true_2', 'false_1', 'false_2']",6,true
3,os15-c000008,os15-c000008,multi_form,"['baseline_1', 'baseline_2', 'true_1', 'true_2', 'false_1', 'false_2']",6,true
4,os15-c000010,os15-c000010,multi_form,"['baseline_1', 'baseline_2', 'true_1', 'true_2', 'false_1', 'false_2']",6,true
5,os15-c000015,os15-c000015,cookie,"['baseline_1', 'baseline_2', 'true_1', 'true_2', 'false_1', 'false_2']",6,true
6,os15-c000016,os15-c000016,cookie,"['baseline_1', 'baseline_2', 'true_1', 'true_2', 'false_1', 'false_2']",6,true
7,os15-c000020,os15-c000020,cookie,"['baseline_1', 'baseline_2', 'true_1', 'true_2', 'false_1', 'false_2']",6,true
8,os15-c000021,os15-c000021,cookie,"['baseline_1', 'baseline_2', 'true_1', 'true_2', 'false_1', 'false_2']",6,true
9,os15-c000023,os15-c000023,cookie,"['baseline_1', 'baseline_2', 'true_1', 'true_2', 'false_1', 'false_2']",6,true
10,os15-c000024,os15-c000024,cookie,"['baseline_1', 'baseline_2', 'true_1', 'true_2', 'false_1', 'false_2']",6,true
11,os15-c000025,os15-c000025,cookie,"['baseline_1', 'baseline_2', 'true_1', 'true_2', 'false_1', 'false_2']",6,true
12,os15-c000034,os15-c000034,header,"['baseline_1', 'baseline_2', 'true_1', 'true_2', 'false_1', 'false_2']",6,true
13,os15-c000051,os15-c000051,header,"['baseline_1', 'baseline_2', 'true_1', 'true_2', 'false_1', 'false_2']",6,true
14,os15-c000052,os15-c000052,header,"['baseline_1', 'baseline_2', 'true_1', 'true_2', 'false_1', 'false_2']",6,true
15,os15-c000053,os15-c000053,header,"['baseline_1', 'baseline_2', 'true_1', 'true_2', 'false_1', 'false_2']",6,true
16,os15-c000054,os15-c000054,header,"['baseline_1', 'baseline_2', 'true_1', 'true_2', 'false_1', 'false_2']",6,true
17,os15-c000055,os15-c000055,header,"['baseline_1', 'baseline_2', 'true_1', 'true_2', 'false_1', 'false_2']",6,true
18,os15-c000059,os15-c000059,header,"['baseline_1', 'baseline_2', 'true_1', 'true_2', 'false_1', 'false_2']",6,true
19,os15-c000062,os15-c000062,header,"['baseline_1', 'baseline_2', 'true_1', 'true_2', 'false_1', 'false_2']",6,true
20,os15-c000063,os15-c000063,header,"['baseline_1', 'baseline_2', 'true_1', 'true_2', 'false_1', 'false_2']",6,true
21,os15-c000064,os15-c000064,header,"['baseline_1', 'baseline_2', 'true_1', 'true_2', 'false_1', 'false_2']",6,true
22,os15-c000065,os15-c000065,multi_form,"['baseline_1', 'baseline_2', 'true_1', 'true_2', 'false_1', 'false_2']",6,true
23,os15-c000066,os15-c000066,multi_form,"['baseline_1', 'baseline_2', 'true_1', 'true_2', 'false_1', 'false_2']",6,true
