candidate_id,adapter_class,input_carrier,evaluation_role
os15-c000003,form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000005,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000008,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000010,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000015,cookie,cookie,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000016,cookie,cookie,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000020,cookie,cookie,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000021,cookie,cookie,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000023,cookie,cookie,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000024,cookie,cookie,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000025,cookie,cookie,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000034,header,header,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000051,header,header,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000052,header,header,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000053,header,header,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000054,header,header,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000055,header,header,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000059,header,header,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000062,header,header,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000063,header,header,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000064,header,header,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000065,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000066,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000067,form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000072,form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000073,form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000074,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000075,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000076,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000082,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000083,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
