sequence,arm_id,scenario_id,trial_number,snapshot_path,candidate_test_budget,top_k,scored
1,deterministic_structural,os15-s0001,1,model-facing/candidate-snapshots/os15-s0001.json,4,4,true
2,deterministic_structural,os15-s0002,1,model-facing/candidate-snapshots/os15-s0002.json,4,4,true
3,deterministic_structural,os15-s0003,1,model-facing/candidate-snapshots/os15-s0003.json,4,4,true
4,deterministic_structural,os15-s0004,1,model-facing/candidate-snapshots/os15-s0004.json,4,4,true
5,deterministic_structural,os15-s0005,1,model-facing/candidate-snapshots/os15-s0005.json,4,4,true
6,deterministic_structural,os15-s0006,1,model-facing/candidate-snapshots/os15-s0006.json,4,4,true
7,deterministic_structural,os15-s0007,1,model-facing/candidate-snapshots/os15-s0007.json,4,4,true
8,deterministic_structural,os15-s0008,1,model-facing/candidate-snapshots/os15-s0008.json,4,4,true
9,deterministic_structural,os15-s0009,1,model-facing/candidate-snapshots/os15-s0009.json,4,4,true
10,deterministic_structural,os15-s0010,1,model-facing/candidate-snapshots/os15-s0010.json,4,4,true
11,deterministic_structural,os15-s0011,1,model-facing/candidate-snapshots/os15-s0011.json,4,4,true
12,deterministic_structural,os15-s0012,1,model-facing/candidate-snapshots/os15-s0012.json,4,4,true
13,deterministic_structural,os15-s0013,1,model-facing/candidate-snapshots/os15-s0013.json,4,4,true
14,deterministic_structural,os15-s0014,1,model-facing/candidate-snapshots/os15-s0014.json,4,4,true
15,deterministic_structural,os15-s0015,1,model-facing/candidate-snapshots/os15-s0015.json,4,4,true
16,deterministic_structural,os15-s0016,1,model-facing/candidate-snapshots/os15-s0016.json,4,4,true
17,deterministic_structural,os15-s0017,1,model-facing/candidate-snapshots/os15-s0017.json,4,4,true
18,deterministic_structural,os15-s0018,1,model-facing/candidate-snapshots/os15-s0018.json,4,4,true
19,deterministic_structural,os15-s0019,1,model-facing/candidate-snapshots/os15-s0019.json,4,4,true
20,deterministic_structural,os15-s0020,1,model-facing/candidate-snapshots/os15-s0020.json,4,4,true
21,deterministic_structural,os15-s0021,1,model-facing/candidate-snapshots/os15-s0021.json,4,4,true
22,deterministic_structural,os15-s0022,1,model-facing/candidate-snapshots/os15-s0022.json,4,4,true
23,deterministic_structural,os15-s0023,1,model-facing/candidate-snapshots/os15-s0023.json,4,4,true
24,deterministic_structural,os15-s0024,1,model-facing/candidate-snapshots/os15-s0024.json,4,4,true
25,deterministic_structural,os15-s0025,1,model-facing/candidate-snapshots/os15-s0025.json,4,4,true
26,deterministic_structural,os15-s0026,1,model-facing/candidate-snapshots/os15-s0026.json,4,4,true
27,deterministic_structural,os15-s0027,1,model-facing/candidate-snapshots/os15-s0027.json,4,4,true
28,deterministic_structural,os15-s0028,1,model-facing/candidate-snapshots/os15-s0028.json,4,4,true
29,deterministic_structural,os15-s0029,1,model-facing/candidate-snapshots/os15-s0029.json,4,4,true
30,deterministic_structural,os15-s0030,1,model-facing/candidate-snapshots/os15-s0030.json,4,4,true
31,deterministic_structural,os15-s0031,1,model-facing/candidate-snapshots/os15-s0031.json,4,4,true
32,deterministic_structural,os15-s0032,1,model-facing/candidate-snapshots/os15-s0032.json,4,4,true
33,deterministic_structural,os15-s0033,1,model-facing/candidate-snapshots/os15-s0033.json,4,4,true
34,deterministic_structural,os15-s0034,1,model-facing/candidate-snapshots/os15-s0034.json,4,4,true
35,deterministic_structural,os15-s0035,1,model-facing/candidate-snapshots/os15-s0035.json,4,4,true
36,deterministic_structural,os15-s0036,1,model-facing/candidate-snapshots/os15-s0036.json,4,4,true
37,deterministic_structural,os15-s0037,1,model-facing/candidate-snapshots/os15-s0037.json,4,4,true
38,deterministic_structural,os15-s0038,1,model-facing/candidate-snapshots/os15-s0038.json,4,4,true
39,deterministic_structural,os15-s0039,1,model-facing/candidate-snapshots/os15-s0039.json,4,4,true
40,deterministic_structural,os15-s0040,1,model-facing/candidate-snapshots/os15-s0040.json,4,4,true
41,deterministic_structural,os15-s0041,1,model-facing/candidate-snapshots/os15-s0041.json,4,4,true
42,deterministic_structural,os15-s0042,1,model-facing/candidate-snapshots/os15-s0042.json,4,4,true
43,deterministic_structural,os15-s0043,1,model-facing/candidate-snapshots/os15-s0043.json,4,4,true
44,deterministic_structural,os15-s0044,1,model-facing/candidate-snapshots/os15-s0044.json,4,4,true
45,deterministic_structural,os15-s0045,1,model-facing/candidate-snapshots/os15-s0045.json,4,4,true
46,deterministic_structural,os15-s0046,1,model-facing/candidate-snapshots/os15-s0046.json,4,4,true
47,deterministic_structural,os15-s0047,1,model-facing/candidate-snapshots/os15-s0047.json,4,4,true
48,deterministic_structural,os15-s0048,1,model-facing/candidate-snapshots/os15-s0048.json,4,4,true
49,deterministic_structural,os15-s0049,1,model-facing/candidate-snapshots/os15-s0049.json,4,4,true
50,deterministic_structural,os15-s0050,1,model-facing/candidate-snapshots/os15-s0050.json,4,4,true
51,deterministic_structural,os15-s0051,1,model-facing/candidate-snapshots/os15-s0051.json,4,4,true
52,deterministic_structural,os15-s0052,1,model-facing/candidate-snapshots/os15-s0052.json,4,4,true
53,deterministic_structural,os15-s0053,1,model-facing/candidate-snapshots/os15-s0053.json,4,4,true
54,deterministic_structural,os15-s0054,1,model-facing/candidate-snapshots/os15-s0054.json,4,4,true
55,deterministic_structural,os15-s0055,1,model-facing/candidate-snapshots/os15-s0055.json,4,4,true
56,deterministic_structural,os15-s0056,1,model-facing/candidate-snapshots/os15-s0056.json,4,4,true
57,deterministic_structural,os15-s0057,1,model-facing/candidate-snapshots/os15-s0057.json,4,4,true
58,deterministic_structural,os15-s0058,1,model-facing/candidate-snapshots/os15-s0058.json,4,4,true
59,deterministic_structural,os15-s0059,1,model-facing/candidate-snapshots/os15-s0059.json,4,4,true
60,deterministic_structural,os15-s0060,1,model-facing/candidate-snapshots/os15-s0060.json,4,4,true
61,deterministic_structural,os15-s0061,1,model-facing/candidate-snapshots/os15-s0061.json,4,4,true
62,deterministic_structural,os15-s0062,1,model-facing/candidate-snapshots/os15-s0062.json,4,4,true
63,deterministic_structural,os15-s0063,1,model-facing/candidate-snapshots/os15-s0063.json,4,4,true
64,deterministic_structural,os15-s0064,1,model-facing/candidate-snapshots/os15-s0064.json,4,4,true
65,deterministic_structural,os15-s0065,1,model-facing/candidate-snapshots/os15-s0065.json,4,4,true
66,deterministic_structural,os15-s0066,1,model-facing/candidate-snapshots/os15-s0066.json,4,4,true
67,deterministic_structural,os15-s0067,1,model-facing/candidate-snapshots/os15-s0067.json,4,4,true
68,deterministic_structural,os15-s0068,1,model-facing/candidate-snapshots/os15-s0068.json,4,4,true
69,deterministic_structural,os15-s0069,1,model-facing/candidate-snapshots/os15-s0069.json,4,4,true
70,deterministic_structural,os15-s0070,1,model-facing/candidate-snapshots/os15-s0070.json,4,4,true
71,deterministic_structural,os15-s0071,1,model-facing/candidate-snapshots/os15-s0071.json,4,4,true
72,deterministic_structural,os15-s0072,1,model-facing/candidate-snapshots/os15-s0072.json,4,4,true
73,deterministic_structural,os15-s0073,1,model-facing/candidate-snapshots/os15-s0073.json,4,4,true
74,deterministic_structural,os15-s0074,1,model-facing/candidate-snapshots/os15-s0074.json,4,4,true
75,deterministic_structural,os15-s0075,1,model-facing/candidate-snapshots/os15-s0075.json,4,4,true
76,deterministic_structural,os15-s0076,1,model-facing/candidate-snapshots/os15-s0076.json,4,4,true
77,deterministic_structural,os15-s0077,1,model-facing/candidate-snapshots/os15-s0077.json,4,4,true
78,deterministic_structural,os15-s0078,1,model-facing/candidate-snapshots/os15-s0078.json,4,4,true
79,deterministic_structural,os15-s0079,1,model-facing/candidate-snapshots/os15-s0079.json,4,4,true
80,deterministic_structural,os15-s0080,1,model-facing/candidate-snapshots/os15-s0080.json,4,4,true
81,deterministic_structural,os15-s0081,1,model-facing/candidate-snapshots/os15-s0081.json,4,4,true
82,deterministic_structural,os15-s0082,1,model-facing/candidate-snapshots/os15-s0082.json,4,4,true
83,deterministic_structural,os15-s0083,1,model-facing/candidate-snapshots/os15-s0083.json,4,4,true
84,deterministic_structural,os15-s0084,1,model-facing/candidate-snapshots/os15-s0084.json,4,4,true
85,deterministic_structural,os15-s0085,1,model-facing/candidate-snapshots/os15-s0085.json,4,4,true
86,deterministic_structural,os15-s0086,1,model-facing/candidate-snapshots/os15-s0086.json,4,4,true
87,deterministic_structural,os15-s0087,1,model-facing/candidate-snapshots/os15-s0087.json,4,4,true
88,deterministic_structural,os15-s0088,1,model-facing/candidate-snapshots/os15-s0088.json,4,4,true
89,deterministic_structural,os15-s0089,1,model-facing/candidate-snapshots/os15-s0089.json,4,4,true
90,deterministic_structural,os15-s0090,1,model-facing/candidate-snapshots/os15-s0090.json,4,4,true
91,deterministic_structural,os15-s0091,1,model-facing/candidate-snapshots/os15-s0091.json,4,4,true
92,deterministic_structural,os15-s0092,1,model-facing/candidate-snapshots/os15-s0092.json,4,4,true
93,deterministic_structural,os15-s0093,1,model-facing/candidate-snapshots/os15-s0093.json,4,4,true
94,deterministic_structural,os15-s0094,1,model-facing/candidate-snapshots/os15-s0094.json,4,4,true
95,deterministic_structural,os15-s0095,1,model-facing/candidate-snapshots/os15-s0095.json,4,4,true
96,deterministic_structural,os15-s0096,1,model-facing/candidate-snapshots/os15-s0096.json,4,4,true
97,deterministic_structural,os15-s0097,1,model-facing/candidate-snapshots/os15-s0097.json,4,4,true
98,deterministic_structural,os15-s0098,1,model-facing/candidate-snapshots/os15-s0098.json,4,4,true
99,deterministic_structural,os15-s0099,1,model-facing/candidate-snapshots/os15-s0099.json,4,4,true
100,deterministic_structural,os15-s0100,1,model-facing/candidate-snapshots/os15-s0100.json,4,4,true
101,deterministic_structural,os15-s0101,1,model-facing/candidate-snapshots/os15-s0101.json,4,4,true
102,deterministic_structural,os15-s0102,1,model-facing/candidate-snapshots/os15-s0102.json,4,4,true
103,deterministic_structural,os15-s0103,1,model-facing/candidate-snapshots/os15-s0103.json,4,4,true
104,deterministic_structural,os15-s0104,1,model-facing/candidate-snapshots/os15-s0104.json,4,4,true
105,deterministic_structural,os15-s0105,1,model-facing/candidate-snapshots/os15-s0105.json,4,4,true
106,deterministic_structural,os15-s0106,1,model-facing/candidate-snapshots/os15-s0106.json,4,4,true
107,deterministic_structural,os15-s0107,1,model-facing/candidate-snapshots/os15-s0107.json,4,4,true
108,deterministic_structural,os15-s0108,1,model-facing/candidate-snapshots/os15-s0108.json,4,4,true
109,deterministic_structural,os15-s0109,1,model-facing/candidate-snapshots/os15-s0109.json,4,4,true
110,deterministic_structural,os15-s0110,1,model-facing/candidate-snapshots/os15-s0110.json,4,4,true
111,deterministic_structural,os15-s0111,1,model-facing/candidate-snapshots/os15-s0111.json,4,4,true
112,deterministic_structural,os15-s0112,1,model-facing/candidate-snapshots/os15-s0112.json,4,4,true
113,deterministic_structural,os15-s0113,1,model-facing/candidate-snapshots/os15-s0113.json,4,4,true
114,deterministic_structural,os15-s0114,1,model-facing/candidate-snapshots/os15-s0114.json,4,4,true
115,deterministic_structural,os15-s0115,1,model-facing/candidate-snapshots/os15-s0115.json,4,4,true
116,deterministic_structural,os15-s0116,1,model-facing/candidate-snapshots/os15-s0116.json,4,4,true
117,deterministic_structural,os15-s0117,1,model-facing/candidate-snapshots/os15-s0117.json,4,4,true
118,deterministic_structural,os15-s0118,1,model-facing/candidate-snapshots/os15-s0118.json,4,4,true
119,deterministic_structural,os15-s0119,1,model-facing/candidate-snapshots/os15-s0119.json,4,4,true
120,deterministic_structural,os15-s0120,1,model-facing/candidate-snapshots/os15-s0120.json,4,4,true
121,deterministic_structural,os15-s0121,1,model-facing/candidate-snapshots/os15-s0121.json,4,4,true
122,deterministic_structural,os15-s0122,1,model-facing/candidate-snapshots/os15-s0122.json,4,4,true
123,deterministic_structural,os15-s0123,1,model-facing/candidate-snapshots/os15-s0123.json,4,4,true
124,deterministic_structural,os15-s0124,1,model-facing/candidate-snapshots/os15-s0124.json,4,4,true
125,proprietary_gpt,os15-s0001,1,model-facing/candidate-snapshots/os15-s0001.json,4,4,true
126,proprietary_gpt,os15-s0001,2,model-facing/candidate-snapshots/os15-s0001.json,4,4,true
127,proprietary_gpt,os15-s0001,3,model-facing/candidate-snapshots/os15-s0001.json,4,4,true
128,proprietary_gpt,os15-s0001,4,model-facing/candidate-snapshots/os15-s0001.json,4,4,true
129,proprietary_gpt,os15-s0001,5,model-facing/candidate-snapshots/os15-s0001.json,4,4,true
130,proprietary_gpt,os15-s0002,1,model-facing/candidate-snapshots/os15-s0002.json,4,4,true
131,proprietary_gpt,os15-s0002,2,model-facing/candidate-snapshots/os15-s0002.json,4,4,true
132,proprietary_gpt,os15-s0002,3,model-facing/candidate-snapshots/os15-s0002.json,4,4,true
133,proprietary_gpt,os15-s0002,4,model-facing/candidate-snapshots/os15-s0002.json,4,4,true
134,proprietary_gpt,os15-s0002,5,model-facing/candidate-snapshots/os15-s0002.json,4,4,true
135,proprietary_gpt,os15-s0003,1,model-facing/candidate-snapshots/os15-s0003.json,4,4,true
136,proprietary_gpt,os15-s0003,2,model-facing/candidate-snapshots/os15-s0003.json,4,4,true
137,proprietary_gpt,os15-s0003,3,model-facing/candidate-snapshots/os15-s0003.json,4,4,true
138,proprietary_gpt,os15-s0003,4,model-facing/candidate-snapshots/os15-s0003.json,4,4,true
139,proprietary_gpt,os15-s0003,5,model-facing/candidate-snapshots/os15-s0003.json,4,4,true
140,proprietary_gpt,os15-s0004,1,model-facing/candidate-snapshots/os15-s0004.json,4,4,true
141,proprietary_gpt,os15-s0004,2,model-facing/candidate-snapshots/os15-s0004.json,4,4,true
142,proprietary_gpt,os15-s0004,3,model-facing/candidate-snapshots/os15-s0004.json,4,4,true
143,proprietary_gpt,os15-s0004,4,model-facing/candidate-snapshots/os15-s0004.json,4,4,true
144,proprietary_gpt,os15-s0004,5,model-facing/candidate-snapshots/os15-s0004.json,4,4,true
145,proprietary_gpt,os15-s0005,1,model-facing/candidate-snapshots/os15-s0005.json,4,4,true
146,proprietary_gpt,os15-s0005,2,model-facing/candidate-snapshots/os15-s0005.json,4,4,true
147,proprietary_gpt,os15-s0005,3,model-facing/candidate-snapshots/os15-s0005.json,4,4,true
148,proprietary_gpt,os15-s0005,4,model-facing/candidate-snapshots/os15-s0005.json,4,4,true
149,proprietary_gpt,os15-s0005,5,model-facing/candidate-snapshots/os15-s0005.json,4,4,true
150,proprietary_gpt,os15-s0006,1,model-facing/candidate-snapshots/os15-s0006.json,4,4,true
151,proprietary_gpt,os15-s0006,2,model-facing/candidate-snapshots/os15-s0006.json,4,4,true
152,proprietary_gpt,os15-s0006,3,model-facing/candidate-snapshots/os15-s0006.json,4,4,true
153,proprietary_gpt,os15-s0006,4,model-facing/candidate-snapshots/os15-s0006.json,4,4,true
154,proprietary_gpt,os15-s0006,5,model-facing/candidate-snapshots/os15-s0006.json,4,4,true
155,proprietary_gpt,os15-s0007,1,model-facing/candidate-snapshots/os15-s0007.json,4,4,true
156,proprietary_gpt,os15-s0007,2,model-facing/candidate-snapshots/os15-s0007.json,4,4,true
157,proprietary_gpt,os15-s0007,3,model-facing/candidate-snapshots/os15-s0007.json,4,4,true
158,proprietary_gpt,os15-s0007,4,model-facing/candidate-snapshots/os15-s0007.json,4,4,true
159,proprietary_gpt,os15-s0007,5,model-facing/candidate-snapshots/os15-s0007.json,4,4,true
160,proprietary_gpt,os15-s0008,1,model-facing/candidate-snapshots/os15-s0008.json,4,4,true
161,proprietary_gpt,os15-s0008,2,model-facing/candidate-snapshots/os15-s0008.json,4,4,true
162,proprietary_gpt,os15-s0008,3,model-facing/candidate-snapshots/os15-s0008.json,4,4,true
163,proprietary_gpt,os15-s0008,4,model-facing/candidate-snapshots/os15-s0008.json,4,4,true
164,proprietary_gpt,os15-s0008,5,model-facing/candidate-snapshots/os15-s0008.json,4,4,true
165,proprietary_gpt,os15-s0009,1,model-facing/candidate-snapshots/os15-s0009.json,4,4,true
166,proprietary_gpt,os15-s0009,2,model-facing/candidate-snapshots/os15-s0009.json,4,4,true
167,proprietary_gpt,os15-s0009,3,model-facing/candidate-snapshots/os15-s0009.json,4,4,true
168,proprietary_gpt,os15-s0009,4,model-facing/candidate-snapshots/os15-s0009.json,4,4,true
169,proprietary_gpt,os15-s0009,5,model-facing/candidate-snapshots/os15-s0009.json,4,4,true
170,proprietary_gpt,os15-s0010,1,model-facing/candidate-snapshots/os15-s0010.json,4,4,true
