arm_id,invalid_trials,scenario_id,scenario_level_mrr,scenario_top1_rate,scenario_top2_rate,scenario_top4_rate,scenario_type,scheduled_trials,valid_positive_trials,valid_trials
deterministic_enriched,0,ow14-s0001,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0002,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0003,0.25,0.0,0.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0004,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0005,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0006,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0007,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0008,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0009,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0010,0.3333333333333333,0.0,0.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0011,0.3333333333333333,0.0,0.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0012,0.5,0.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0013,0.2,0.0,0.0,0.0,positive,1,1,1
deterministic_enriched,0,ow14-s0014,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0015,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0016,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0017,0.25,0.0,0.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0018,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0019,0.5,0.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0020,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0021,0.5,0.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0022,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0023,0.25,0.0,0.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0024,0.25,0.0,0.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0025,0.5,0.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0026,0.3333333333333333,0.0,0.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0027,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0028,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0029,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0030,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0031,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0032,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0033,0.3333333333333333,0.0,0.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0034,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0035,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0036,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0037,0.5,0.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0038,0.5,0.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0039,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0040,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0041,0.5,0.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0042,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0043,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0044,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0045,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0046,0.2,0.0,0.0,0.0,positive,1,1,1
deterministic_enriched,0,ow14-s0047,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0048,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0049,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0050,0.2,0.0,0.0,0.0,positive,1,1,1
deterministic_enriched,0,ow14-s0051,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0052,0.3333333333333333,0.0,0.0,1.0,positive,1,1,1
