sequence,row_id,arm_id,representation_condition,scenario_id,trial_number,snapshot_path,candidate_test_budget,top_k,scored
1,ow14-1-r00001,deterministic_minimal,minimal,ow14-s0001,1,model-facing/minimal-candidate-snapshots/ow14-s0001.json,4,4,True
2,ow14-1-r00002,deterministic_minimal,minimal,ow14-s0002,1,model-facing/minimal-candidate-snapshots/ow14-s0002.json,4,4,True
3,ow14-1-r00003,deterministic_minimal,minimal,ow14-s0003,1,model-facing/minimal-candidate-snapshots/ow14-s0003.json,4,4,True
4,ow14-1-r00004,deterministic_minimal,minimal,ow14-s0004,1,model-facing/minimal-candidate-snapshots/ow14-s0004.json,4,4,True
5,ow14-1-r00005,deterministic_minimal,minimal,ow14-s0005,1,model-facing/minimal-candidate-snapshots/ow14-s0005.json,4,4,True
6,ow14-1-r00006,deterministic_minimal,minimal,ow14-s0006,1,model-facing/minimal-candidate-snapshots/ow14-s0006.json,4,4,True
7,ow14-1-r00007,deterministic_minimal,minimal,ow14-s0007,1,model-facing/minimal-candidate-snapshots/ow14-s0007.json,4,4,True
8,ow14-1-r00008,deterministic_minimal,minimal,ow14-s0008,1,model-facing/minimal-candidate-snapshots/ow14-s0008.json,4,4,True
9,ow14-1-r00009,deterministic_minimal,minimal,ow14-s0009,1,model-facing/minimal-candidate-snapshots/ow14-s0009.json,4,4,True
10,ow14-1-r00010,deterministic_minimal,minimal,ow14-s0010,1,model-facing/minimal-candidate-snapshots/ow14-s0010.json,4,4,True
11,ow14-1-r00011,deterministic_minimal,minimal,ow14-s0011,1,model-facing/minimal-candidate-snapshots/ow14-s0011.json,4,4,True
12,ow14-1-r00012,deterministic_minimal,minimal,ow14-s0012,1,model-facing/minimal-candidate-snapshots/ow14-s0012.json,4,4,True
13,ow14-1-r00013,deterministic_minimal,minimal,ow14-s0013,1,model-facing/minimal-candidate-snapshots/ow14-s0013.json,4,4,True
14,ow14-1-r00014,deterministic_minimal,minimal,ow14-s0014,1,model-facing/minimal-candidate-snapshots/ow14-s0014.json,4,4,True
15,ow14-1-r00015,deterministic_minimal,minimal,ow14-s0015,1,model-facing/minimal-candidate-snapshots/ow14-s0015.json,4,4,True
16,ow14-1-r00016,deterministic_minimal,minimal,ow14-s0016,1,model-facing/minimal-candidate-snapshots/ow14-s0016.json,4,4,True
17,ow14-1-r00017,deterministic_minimal,minimal,ow14-s0017,1,model-facing/minimal-candidate-snapshots/ow14-s0017.json,4,4,True
