benchmark_case_id,benchmark_name,benchmark_version,benchmark_revision,source_file,label_source,vulnerability_label,expected_result,ground_truth_granularity,request_method,input_source,endpoint,parameter,content_type,encoding_or_transform,context_or_category,authentication_required,stateful_prerequisite,current_framework_compatible,compatibility_class,evaluation_role,incompatibility_reason,required_adapter,adapter_changes_vulnerability_semantics,verifier_compatible,payload_support,candidate_representation_support,candidate_representation_gap,eligible_for_direct_external_execution,eligible_for_external_ranking,ranking_candidate_source,benchmark_identity_leakage_fields,sanitization_required,sanitized_candidate_id,sanitized_action_path,sanitized_parameter_name,retained_model_facing_fields,excluded_from_model_input_fields,exclusion_reason,audit_status,auditor_notes
BenchmarkTest00013,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00013.java,expectedresults-1.2.csv,xss,vulnerable,case_level,GET_delegates_to_POST,header,/xss-00/BenchmarkTest00013,Referer,text/html;charset=UTF-8,url_decode,cwe-79,not_identified,not_identified,false,ADAPTER_SUPPORTED,FINAL_CONFIRMATORY_ELIGIBLE,current_candidate_transport_does_not_support_header,header_input,false,current_marker_control_likely_sufficient,current_marker_control,required_extension,input_source_header;header_name_transport,true,true,metadata_constructed,benchmark_case_id;source_file;java_class_name;servlet_route;vulnerability_label;expected_result;parameter,true,ox14-c000001,/external-v14/case-000001,header_000001,opaque_candidate_id;sanitized_action_path;method;sanitized_parameter_name;input_source;input_type;editable_input_count;required_input_count;parameter_count,benchmark_case_id;source_file;java_class_name;servlet_name;vulnerability_label;expected_result;ground_truth,,audited,
BenchmarkTest00014,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00014.java,expectedresults-1.2.csv,xss,vulnerable,case_level,GET_delegates_to_POST,header,/xss-00/BenchmarkTest00014,Referer,text/html;charset=UTF-8,url_decode,cwe-79,not_identified,not_identified,false,ADAPTER_SUPPORTED,FINAL_CONFIRMATORY_ELIGIBLE,current_candidate_transport_does_not_support_header,header_input,false,current_marker_control_likely_sufficient,current_marker_control,required_extension,input_source_header;header_name_transport,true,true,metadata_constructed,benchmark_case_id;source_file;java_class_name;servlet_route;vulnerability_label;expected_result;parameter,true,ox14-c000002,/external-v14/case-000002,header_000002,opaque_candidate_id;sanitized_action_path;method;sanitized_parameter_name;input_source;input_type;editable_input_count;required_input_count;parameter_count,benchmark_case_id;source_file;java_class_name;servlet_name;vulnerability_label;expected_result;ground_truth,,audited,
BenchmarkTest00030,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00030.java,expectedresults-1.2.csv,xss,vulnerable,case_level,GET_delegates_to_POST,parameter_map,/xss-00/BenchmarkTest00030,BenchmarkTest00030,text/html;charset=UTF-8,none_identified,cwe-79,not_identified,not_identified,true,DIRECT,FINAL_CONFIRMATORY_ELIGIBLE,,,not_applicable,current_marker_control_likely_sufficient,current_marker_control,current,,true,true,metadata_constructed,benchmark_case_id;source_file;java_class_name;servlet_route;vulnerability_label;expected_result;parameter,true,ox14-c000003,/external-v14/case-000003,input_000003,opaque_candidate_id;sanitized_action_path;method;sanitized_parameter_name;input_source;input_type;editable_input_count;required_input_count;parameter_count,benchmark_case_id;source_file;java_class_name;servlet_name;vulnerability_label;expected_result;ground_truth,,audited,
BenchmarkTest00036,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00036.java,expectedresults-1.2.csv,xss,vulnerable,case_level,GET_delegates_to_POST,parameter_name_enumeration,/xss-00/BenchmarkTest00036,dynamic_parameter_name,text/html;charset=UTF-8,none_identified,cwe-79,not_identified,not_identified,false,ADAPTER_SUPPORTED,FINAL_CONFIRMATORY_ELIGIBLE,current_candidate_transport_does_not_support_parameter_name_enumeration,parameter_name_value_adapter,false,current_marker_control_likely_sufficient,current_marker_control,required_extension,dynamic_parameter_name_and_value_transport,true,true,metadata_constructed,benchmark_case_id;source_file;java_class_name;servlet_route;vulnerability_label;expected_result;parameter,true,ox14-c000004,/external-v14/case-000004,input_000004,opaque_candidate_id;sanitized_action_path;method;sanitized_parameter_name;input_source;input_type;editable_input_count;required_input_count;parameter_count,benchmark_case_id;source_file;java_class_name;servlet_name;vulnerability_label;expected_result;ground_truth,,audited,dynamic parameter-name/value enumeration
BenchmarkTest00041,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00041.java,expectedresults-1.2.csv,xss,vulnerable,case_level,GET_delegates_to_POST,parameter,/xss-00/BenchmarkTest00041,BenchmarkTest00041,text/html;charset=UTF-8,none_identified,cwe-79,not_identified,not_identified,true,DIRECT,FINAL_CONFIRMATORY_ELIGIBLE,,,not_applicable,current_marker_control_likely_sufficient,current_marker_control,current,,true,true,metadata_constructed,benchmark_case_id;source_file;java_class_name;servlet_route;vulnerability_label;expected_result;parameter,true,ox14-c000005,/external-v14/case-000005,input_000005,opaque_candidate_id;sanitized_action_path;method;sanitized_parameter_name;input_source;input_type;editable_input_count;required_input_count;parameter_count,benchmark_case_id;source_file;java_class_name;servlet_name;vulnerability_label;expected_result;ground_truth,,audited,parameter read through helper wrapper
BenchmarkTest00047,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00047.java,expectedresults-1.2.csv,xss,vulnerable,case_level,GET_delegates_to_POST,query_string,/xss-00/BenchmarkTest00047,BenchmarkTest00047,text/html;charset=UTF-8,url_decode,cwe-79,not_identified,not_identified,true,DIRECT,FINAL_CONFIRMATORY_ELIGIBLE,,,not_applicable,current_marker_control_likely_sufficient,current_marker_control,current,,true,true,metadata_constructed,benchmark_case_id;source_file;java_class_name;servlet_route;vulnerability_label;expected_result;parameter,true,ox14-c000006,/external-v14/case-000006,input_000006,opaque_candidate_id;sanitized_action_path;method;sanitized_parameter_name;input_source;input_type;editable_input_count;required_input_count;parameter_count,benchmark_case_id;source_file;java_class_name;servlet_name;vulnerability_label;expected_result;ground_truth,,audited,query string parsed manually for benchmark parameter
BenchmarkTest00048,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00048.java,expectedresults-1.2.csv,xss,vulnerable,case_level,GET_delegates_to_POST,query_string,/xss-00/BenchmarkTest00048,BenchmarkTest00048,text/html;charset=UTF-8,url_decode,cwe-79,not_identified,not_identified,true,DIRECT,FINAL_CONFIRMATORY_ELIGIBLE,,,not_applicable,current_marker_control_likely_sufficient,current_marker_control,current,,true,true,metadata_constructed,benchmark_case_id;source_file;java_class_name;servlet_route;vulnerability_label;expected_result;parameter,true,ox14-c000007,/external-v14/case-000007,input_000007,opaque_candidate_id;sanitized_action_path;method;sanitized_parameter_name;input_source;input_type;editable_input_count;required_input_count;parameter_count,benchmark_case_id;source_file;java_class_name;servlet_name;vulnerability_label;expected_result;ground_truth,,audited,query string parsed manually for benchmark parameter
BenchmarkTest00049,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00049.java,expectedresults-1.2.csv,xss,vulnerable,case_level,GET_delegates_to_POST,query_string,/xss-00/BenchmarkTest00049,BenchmarkTest00049,text/html;charset=UTF-8,url_decode,cwe-79,not_identified,not_identified,true,DIRECT,FINAL_CONFIRMATORY_ELIGIBLE,,,not_applicable,current_marker_control_likely_sufficient,current_marker_control,current,,true,true,metadata_constructed,benchmark_case_id;source_file;java_class_name;servlet_route;vulnerability_label;expected_result;parameter,true,ox14-c000008,/external-v14/case-000008,input_000008,opaque_candidate_id;sanitized_action_path;method;sanitized_parameter_name;input_source;input_type;editable_input_count;required_input_count;parameter_count,benchmark_case_id;source_file;java_class_name;servlet_name;vulnerability_label;expected_result;ground_truth,,audited,query string parsed manually for benchmark parameter
BenchmarkTest00144,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00144.java,expectedresults-1.2.csv,xss,vulnerable,case_level,GET_delegates_to_POST,header,/xss-00/BenchmarkTest00144,Referer,text/html;charset=UTF-8,url_decode,cwe-79,not_identified,not_identified,false,ADAPTER_SUPPORTED,FINAL_CONFIRMATORY_ELIGIBLE,current_candidate_transport_does_not_support_header,header_input,false,current_marker_control_likely_sufficient,current_marker_control,required_extension,input_source_header;header_name_transport,true,true,metadata_constructed,benchmark_case_id;source_file;java_class_name;servlet_route;vulnerability_label;expected_result;parameter,true,ox14-c000009,/external-v14/case-000009,header_000009,opaque_candidate_id;sanitized_action_path;method;sanitized_parameter_name;input_source;input_type;editable_input_count;required_input_count;parameter_count,benchmark_case_id;source_file;java_class_name;servlet_name;vulnerability_label;expected_result;ground_truth,,audited,
BenchmarkTest00145,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00145.java,expectedresults-1.2.csv,xss,vulnerable,case_level,GET_delegates_to_POST,header,/xss-00/BenchmarkTest00145,Referer,text/html;charset=UTF-8,url_decode,cwe-79,not_identified,not_identified,false,ADAPTER_SUPPORTED,FINAL_CONFIRMATORY_ELIGIBLE,current_candidate_transport_does_not_support_header,header_input,false,current_marker_control_likely_sufficient,current_marker_control,required_extension,input_source_header;header_name_transport,true,true,metadata_constructed,benchmark_case_id;source_file;java_class_name;servlet_route;vulnerability_label;expected_result;parameter,true,ox14-c000010,/external-v14/case-000010,header_000010,opaque_candidate_id;sanitized_action_path;method;sanitized_parameter_name;input_source;input_type;editable_input_count;required_input_count;parameter_count,benchmark_case_id;source_file;java_class_name;servlet_name;vulnerability_label;expected_result;ground_truth,,audited,
BenchmarkTest00146,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00146.java,expectedresults-1.2.csv,xss,vulnerable,case_level,GET_delegates_to_POST,header,/xss-00/BenchmarkTest00146,Referer,text/html;charset=UTF-8,url_decode,cwe-79,not_identified,not_identified,false,ADAPTER_SUPPORTED,FINAL_CONFIRMATORY_ELIGIBLE,current_candidate_transport_does_not_support_header,header_input,false,current_marker_control_likely_sufficient,current_marker_control,required_extension,input_source_header;header_name_transport,true,true,metadata_constructed,benchmark_case_id;source_file;java_class_name;servlet_route;vulnerability_label;expected_result;parameter,true,ox14-c000011,/external-v14/case-000011,header_000011,opaque_candidate_id;sanitized_action_path;method;sanitized_parameter_name;input_source;input_type;editable_input_count;required_input_count;parameter_count,benchmark_case_id;source_file;java_class_name;servlet_name;vulnerability_label;expected_result;ground_truth,,audited,
BenchmarkTest00147,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00147.java,expectedresults-1.2.csv,xss,non_vulnerable,case_level,GET_delegates_to_POST,header,/xss-00/BenchmarkTest00147,Referer,text/html;charset=UTF-8,url_decode,cwe-79,not_identified,not_identified,false,ADAPTER_SUPPORTED,FINAL_CONFIRMATORY_ELIGIBLE,current_candidate_transport_does_not_support_header,header_input,false,current_marker_control_likely_sufficient,current_marker_control,required_extension,input_source_header;header_name_transport,true,true,metadata_constructed,benchmark_case_id;source_file;java_class_name;servlet_route;vulnerability_label;expected_result;parameter,true,ox14-c000012,/external-v14/case-000012,header_000012,opaque_candidate_id;sanitized_action_path;method;sanitized_parameter_name;input_source;input_type;editable_input_count;required_input_count;parameter_count,benchmark_case_id;source_file;java_class_name;servlet_name;vulnerability_label;expected_result;ground_truth,,audited,
BenchmarkTest00148,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00148.java,expectedresults-1.2.csv,xss,vulnerable,case_level,GET_delegates_to_POST,header,/xss-00/BenchmarkTest00148,Referer,text/html;charset=UTF-8,url_decode,cwe-79,not_identified,not_identified,false,ADAPTER_SUPPORTED,FINAL_CONFIRMATORY_ELIGIBLE,current_candidate_transport_does_not_support_header,header_input,false,current_marker_control_likely_sufficient,current_marker_control,required_extension,input_source_header;header_name_transport,true,true,metadata_constructed,benchmark_case_id;source_file;java_class_name;servlet_route;vulnerability_label;expected_result;parameter,true,ox14-c000013,/external-v14/case-000013,header_000013,opaque_candidate_id;sanitized_action_path;method;sanitized_parameter_name;input_source;input_type;editable_input_count;required_input_count;parameter_count,benchmark_case_id;source_file;java_class_name;servlet_name;vulnerability_label;expected_result;ground_truth,,audited,
BenchmarkTest00149,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00149.java,expectedresults-1.2.csv,xss,vulnerable,case_level,GET_delegates_to_POST,header,/xss-00/BenchmarkTest00149,Referer,text/html;charset=UTF-8,url_decode,cwe-79,not_identified,not_identified,false,ADAPTER_SUPPORTED,FINAL_CONFIRMATORY_ELIGIBLE,current_candidate_transport_does_not_support_header,header_input,false,current_marker_control_likely_sufficient,current_marker_control,required_extension,input_source_header;header_name_transport,true,true,metadata_constructed,benchmark_case_id;source_file;java_class_name;servlet_route;vulnerability_label;expected_result;parameter,true,ox14-c000014,/external-v14/case-000014,header_000014,opaque_candidate_id;sanitized_action_path;method;sanitized_parameter_name;input_source;input_type;editable_input_count;required_input_count;parameter_count,benchmark_case_id;source_file;java_class_name;servlet_name;vulnerability_label;expected_result;ground_truth,,audited,
BenchmarkTest00150,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00150.java,expectedresults-1.2.csv,xss,vulnerable,case_level,GET_delegates_to_POST,header,/xss-00/BenchmarkTest00150,Referer,text/html;charset=UTF-8,url_decode,cwe-79,not_identified,not_identified,false,ADAPTER_SUPPORTED,FINAL_CONFIRMATORY_ELIGIBLE,current_candidate_transport_does_not_support_header,header_input,false,current_marker_control_likely_sufficient,current_marker_control,required_extension,input_source_header;header_name_transport,true,true,metadata_constructed,benchmark_case_id;source_file;java_class_name;servlet_route;vulnerability_label;expected_result;parameter,true,ox14-c000015,/external-v14/case-000015,header_000015,opaque_candidate_id;sanitized_action_path;method;sanitized_parameter_name;input_source;input_type;editable_input_count;required_input_count;parameter_count,benchmark_case_id;source_file;java_class_name;servlet_name;vulnerability_label;expected_result;ground_truth,,audited,
BenchmarkTest00151,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00151.java,expectedresults-1.2.csv,xss,non_vulnerable,case_level,GET_delegates_to_POST,header,/xss-00/BenchmarkTest00151,Referer,text/html;charset=UTF-8,url_decode,cwe-79,not_identified,not_identified,false,ADAPTER_SUPPORTED,FINAL_CONFIRMATORY_ELIGIBLE,current_candidate_transport_does_not_support_header,header_input,false,current_marker_control_likely_sufficient,current_marker_control,required_extension,input_source_header;header_name_transport,true,true,metadata_constructed,benchmark_case_id;source_file;java_class_name;servlet_route;vulnerability_label;expected_result;parameter,true,ox14-c000016,/external-v14/case-000016,header_000016,opaque_candidate_id;sanitized_action_path;method;sanitized_parameter_name;input_source;input_type;editable_input_count;required_input_count;parameter_count,benchmark_case_id;source_file;java_class_name;servlet_name;vulnerability_label;expected_result;ground_truth,,audited,
BenchmarkTest00152,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00152.java,expectedresults-1.2.csv,xss,vulnerable,case_level,GET_delegates_to_POST,header,/xss-00/BenchmarkTest00152,Referer,text/html;charset=UTF-8,url_decode,cwe-79,not_identified,not_identified,false,ADAPTER_SUPPORTED,FINAL_CONFIRMATORY_ELIGIBLE,current_candidate_transport_does_not_support_header,header_input,false,current_marker_control_likely_sufficient,current_marker_control,required_extension,input_source_header;header_name_transport,true,true,metadata_constructed,benchmark_case_id;source_file;java_class_name;servlet_route;vulnerability_label;expected_result;parameter,true,ox14-c000017,/external-v14/case-000017,header_000017,opaque_candidate_id;sanitized_action_path;method;sanitized_parameter_name;input_source;input_type;editable_input_count;required_input_count;parameter_count,benchmark_case_id;source_file;java_class_name;servlet_name;vulnerability_label;expected_result;ground_truth,,audited,
