arm_id,contract_valid_rows,mean_reciprocal_rank,rows,scenario_id,scenario_type,top1_rate,topk_rate
deterministic_structural,1,0.3333333333333333,1,ow14-s0001,positive,0.0,1.0
deterministic_structural,1,0.2,1,ow14-s0002,positive,0.0,0.0
deterministic_structural,1,0.25,1,ow14-s0003,positive,0.0,1.0
deterministic_structural,1,1.0,1,ow14-s0004,positive,1.0,1.0
deterministic_structural,1,0.5,1,ow14-s0005,positive,0.0,1.0
deterministic_structural,1,0.3333333333333333,1,ow14-s0006,positive,0.0,1.0
deterministic_structural,1,0.3333333333333333,1,ow14-s0007,positive,0.0,1.0
deterministic_structural,1,0.25,1,ow14-s0008,positive,0.0,1.0
deterministic_structural,1,1.0,1,ow14-s0009,positive,1.0,1.0
deterministic_structural,1,0.25,1,ow14-s0010,positive,0.0,1.0
deterministic_structural,1,0.5,1,ow14-s0011,positive,0.0,1.0
deterministic_structural,1,0.5,1,ow14-s0012,positive,0.0,1.0
deterministic_structural,1,0.2,1,ow14-s0013,positive,0.0,0.0
deterministic_structural,1,1.0,1,ow14-s0014,positive,1.0,1.0
deterministic_structural,1,0.3333333333333333,1,ow14-s0015,positive,0.0,1.0
deterministic_structural,1,1.0,1,ow14-s0016,positive,1.0,1.0
deterministic_structural,1,0.3333333333333333,1,ow14-s0017,positive,0.0,1.0
deterministic_structural,1,1.0,1,ow14-s0018,positive,1.0,1.0
deterministic_structural,1,0.3333333333333333,1,ow14-s0019,positive,0.0,1.0
deterministic_structural,1,1.0,1,ow14-s0020,positive,1.0,1.0
deterministic_structural,1,0.5,1,ow14-s0021,positive,0.0,1.0
deterministic_structural,1,0.5,1,ow14-s0022,positive,0.0,1.0
deterministic_structural,1,1.0,1,ow14-s0023,positive,1.0,1.0
deterministic_structural,1,0.25,1,ow14-s0024,positive,0.0,1.0
deterministic_structural,1,0.25,1,ow14-s0025,positive,0.0,1.0
deterministic_structural,1,0.3333333333333333,1,ow14-s0026,positive,0.0,1.0
deterministic_structural,1,0.5,1,ow14-s0027,positive,0.0,1.0
deterministic_structural,1,0.25,1,ow14-s0028,positive,0.0,1.0
deterministic_structural,1,0.5,1,ow14-s0029,positive,0.0,1.0
deterministic_structural,1,1.0,1,ow14-s0030,positive,1.0,1.0
deterministic_structural,1,1.0,1,ow14-s0031,positive,1.0,1.0
deterministic_structural,1,0.5,1,ow14-s0032,positive,0.0,1.0
deterministic_structural,1,0.5,1,ow14-s0033,positive,0.0,1.0
deterministic_structural,1,0.3333333333333333,1,ow14-s0034,positive,0.0,1.0
deterministic_structural,1,0.5,1,ow14-s0035,positive,0.0,1.0
deterministic_structural,1,0.2,1,ow14-s0036,positive,0.0,0.0
deterministic_structural,1,0.5,1,ow14-s0037,positive,0.0,1.0
deterministic_structural,1,0.2,1,ow14-s0038,positive,0.0,0.0
deterministic_structural,1,0.2,1,ow14-s0039,positive,0.0,0.0
deterministic_structural,1,0.5,1,ow14-s0040,positive,0.0,1.0
deterministic_structural,1,0.25,1,ow14-s0041,positive,0.0,1.0
deterministic_structural,1,0.5,1,ow14-s0042,positive,0.0,1.0
deterministic_structural,1,0.3333333333333333,1,ow14-s0043,positive,0.0,1.0
deterministic_structural,1,0.3333333333333333,1,ow14-s0044,positive,0.0,1.0
deterministic_structural,1,0.2,1,ow14-s0045,positive,0.0,0.0
deterministic_structural,1,1.0,1,ow14-s0046,positive,1.0,1.0
deterministic_structural,1,1.0,1,ow14-s0047,positive,1.0,1.0
deterministic_structural,1,0.2,1,ow14-s0048,positive,0.0,0.0
deterministic_structural,1,0.5,1,ow14-s0049,positive,0.0,1.0
deterministic_structural,1,0.2,1,ow14-s0050,positive,0.0,0.0
deterministic_structural,1,0.2,1,ow14-s0051,positive,0.0,0.0
deterministic_structural,1,0.3333333333333333,1,ow14-s0052,positive,0.0,1.0
deterministic_structural,1,1.0,1,ow14-s0053,positive,1.0,1.0
deterministic_structural,1,0.25,1,ow14-s0054,positive,0.0,1.0
deterministic_structural,1,0.25,1,ow14-s0055,positive,0.0,1.0
deterministic_structural,1,0.25,1,ow14-s0056,positive,0.0,1.0
deterministic_structural,1,0.3333333333333333,1,ow14-s0057,positive,0.0,1.0
deterministic_structural,1,0.25,1,ow14-s0058,positive,0.0,1.0
