scenario_id,focal_vulnerable_candidate_id,initial_position,input_order
ow14-s0001,ox14-c000227,2,ox14-c000348 ox14-c000227 ox14-c000189 ox14-c000236 ox14-c000030
ow14-s0002,ox14-c000222,3,ox14-c000426 ox14-c000083 ox14-c000222 ox14-c000209 ox14-c000341
ow14-s0003,ox14-c000326,2,ox14-c000259 ox14-c000326 ox14-c000184 ox14-c000333 ox14-c000254
ow14-s0004,ox14-c000055,1,ox14-c000055 ox14-c000229 ox14-c000355 ox14-c000278 ox14-c000031
ow14-s0005,ox14-c000098,5,ox14-c000294 ox14-c000204 ox14-c000065 ox14-c000125 ox14-c000098
ow14-s0006,ox14-c000334,3,ox14-c000164 ox14-c000044 ox14-c000334 ox14-c000066 ox14-c000409
ow14-s0007,ox14-c000255,5,ox14-c000208 ox14-c000112 ox14-c000261 ox14-c000432 ox14-c000255
ow14-s0008,ox14-c000173,5,ox14-c000362 ox14-c000310 ox14-c000414 ox14-c000224 ox14-c000173
ow14-s0009,ox14-c000063,3,ox14-c000402 ox14-c000210 ox14-c000063 ox14-c000391 ox14-c000036
ow14-s0010,ox14-c000349,4,ox14-c000225 ox14-c000320 ox14-c000252 ox14-c000349 ox14-c000067
ow14-s0011,ox14-c000329,1,ox14-c000329 ox14-c000369 ox14-c000165 ox14-c000140 ox14-c000090
ow14-s0012,ox14-c000244,1,ox14-c000244 ox14-c000072 ox14-c000265 ox14-c000081 ox14-c000389
ow14-s0013,ox14-c000380,3,ox14-c000323 ox14-c000246 ox14-c000380 ox14-c000211 ox14-c000046
ow14-s0014,ox14-c000068,4,ox14-c000025 ox14-c000108 ox14-c000181 ox14-c000068 ox14-c000121
ow14-s0015,ox14-c000415,3,ox14-c000197 ox14-c000012 ox14-c000415 ox14-c000058 ox14-c000037
ow14-s0016,ox14-c000110,1,ox14-c000110 ox14-c000245 ox14-c000354 ox14-c000270 ox14-c000374
ow14-s0017,ox14-c000322,3,ox14-c000087 ox14-c000075 ox14-c000322 ox14-c000127 ox14-c000033
ow14-s0018,ox14-c000262,4,ox14-c000406 ox14-c000352 ox14-c000277 ox14-c000262 ox14-c000297
ow14-s0019,ox14-c000193,3,ox14-c000357 ox14-c000183 ox14-c000193 ox14-c000113 ox14-c000060
ow14-s0020,ox14-c000097,1,ox14-c000097 ox14-c000103 ox14-c000398 ox14-c000381 ox14-c000293
ow14-s0021,ox14-c000400,3,ox14-c000373 ox14-c000422 ox14-c000400 ox14-c000093 ox14-c000107
ow14-s0022,ox14-c000237,1,ox14-c000237 ox14-c000337 ox14-c000053 ox14-c000350 ox14-c000427
ow14-s0023,ox14-c000122,5,ox14-c000016 ox14-c000344 ox14-c000384 ox14-c000216 ox14-c000122
