scenario_id,scenario_type,trial_number,input_order,output_ranking,exact_input_order_match,ascending_candidate_id_order,descending_candidate_id_order,exact_ascending_candidate_id_order_match,exact_descending_candidate_id_order_match,spearman_ascending_candidate_id_order
ow14-s0001,positive,1,ox14-c000348 ox14-c000227 ox14-c000189 ox14-c000236 ox14-c000030,ox14-c000030 ox14-c000189 ox14-c000348 ox14-c000227 ox14-c000236,false,ox14-c000030 ox14-c000189 ox14-c000227 ox14-c000236 ox14-c000348,ox14-c000348 ox14-c000236 ox14-c000227 ox14-c000189 ox14-c000030,false,false,0.7000000000
ow14-s0001,positive,2,ox14-c000348 ox14-c000227 ox14-c000189 ox14-c000236 ox14-c000030,ox14-c000030 ox14-c000189 ox14-c000348 ox14-c000227 ox14-c000236,false,ox14-c000030 ox14-c000189 ox14-c000227 ox14-c000236 ox14-c000348,ox14-c000348 ox14-c000236 ox14-c000227 ox14-c000189 ox14-c000030,false,false,0.7000000000
ow14-s0001,positive,3,ox14-c000348 ox14-c000227 ox14-c000189 ox14-c000236 ox14-c000030,ox14-c000030 ox14-c000189 ox14-c000348 ox14-c000227 ox14-c000236,false,ox14-c000030 ox14-c000189 ox14-c000227 ox14-c000236 ox14-c000348,ox14-c000348 ox14-c000236 ox14-c000227 ox14-c000189 ox14-c000030,false,false,0.7000000000
ow14-s0001,positive,4,ox14-c000348 ox14-c000227 ox14-c000189 ox14-c000236 ox14-c000030,ox14-c000030 ox14-c000189 ox14-c000348 ox14-c000227 ox14-c000236,false,ox14-c000030 ox14-c000189 ox14-c000227 ox14-c000236 ox14-c000348,ox14-c000348 ox14-c000236 ox14-c000227 ox14-c000189 ox14-c000030,false,false,0.7000000000
ow14-s0001,positive,5,ox14-c000348 ox14-c000227 ox14-c000189 ox14-c000236 ox14-c000030,ox14-c000030 ox14-c000189 ox14-c000348 ox14-c000227 ox14-c000236,false,ox14-c000030 ox14-c000189 ox14-c000227 ox14-c000236 ox14-c000348,ox14-c000348 ox14-c000236 ox14-c000227 ox14-c000189 ox14-c000030,false,false,0.7000000000
ow14-s0002,positive,1,ox14-c000426 ox14-c000083 ox14-c000222 ox14-c000209 ox14-c000341,ox14-c000083 ox14-c000222 ox14-c000209 ox14-c000341 ox14-c000426,false,ox14-c000083 ox14-c000209 ox14-c000222 ox14-c000341 ox14-c000426,ox14-c000426 ox14-c000341 ox14-c000222 ox14-c000209 ox14-c000083,false,false,0.9000000000
ow14-s0002,positive,2,ox14-c000426 ox14-c000083 ox14-c000222 ox14-c000209 ox14-c000341,ox14-c000083 ox14-c000222 ox14-c000209 ox14-c000341 ox14-c000426,false,ox14-c000083 ox14-c000209 ox14-c000222 ox14-c000341 ox14-c000426,ox14-c000426 ox14-c000341 ox14-c000222 ox14-c000209 ox14-c000083,false,false,0.9000000000
ow14-s0002,positive,3,ox14-c000426 ox14-c000083 ox14-c000222 ox14-c000209 ox14-c000341,ox14-c000083 ox14-c000222 ox14-c000209 ox14-c000341 ox14-c000426,false,ox14-c000083 ox14-c000209 ox14-c000222 ox14-c000341 ox14-c000426,ox14-c000426 ox14-c000341 ox14-c000222 ox14-c000209 ox14-c000083,false,false,0.9000000000
ow14-s0002,positive,4,ox14-c000426 ox14-c000083 ox14-c000222 ox14-c000209 ox14-c000341,ox14-c000083 ox14-c000222 ox14-c000209 ox14-c000341 ox14-c000426,false,ox14-c000083 ox14-c000209 ox14-c000222 ox14-c000341 ox14-c000426,ox14-c000426 ox14-c000341 ox14-c000222 ox14-c000209 ox14-c000083,false,false,0.9000000000
ow14-s0002,positive,5,ox14-c000426 ox14-c000083 ox14-c000222 ox14-c000209 ox14-c000341,ox14-c000083 ox14-c000222 ox14-c000209 ox14-c000341 ox14-c000426,false,ox14-c000083 ox14-c000209 ox14-c000222 ox14-c000341 ox14-c000426,ox14-c000426 ox14-c000341 ox14-c000222 ox14-c000209 ox14-c000083,false,false,0.9000000000
ow14-s0003,positive,1,ox14-c000259 ox14-c000326 ox14-c000184 ox14-c000333 ox14-c000254,ox14-c000259 ox14-c000326 ox14-c000184 ox14-c000333 ox14-c000254,true,ox14-c000184 ox14-c000254 ox14-c000259 ox14-c000326 ox14-c000333,ox14-c000333 ox14-c000326 ox14-c000259 ox14-c000254 ox14-c000184,false,false,-0.1000000000
ow14-s0003,positive,2,ox14-c000259 ox14-c000326 ox14-c000184 ox14-c000333 ox14-c000254,ox14-c000259 ox14-c000326 ox14-c000184 ox14-c000333 ox14-c000254,true,ox14-c000184 ox14-c000254 ox14-c000259 ox14-c000326 ox14-c000333,ox14-c000333 ox14-c000326 ox14-c000259 ox14-c000254 ox14-c000184,false,false,-0.1000000000
ow14-s0003,positive,3,ox14-c000259 ox14-c000326 ox14-c000184 ox14-c000333 ox14-c000254,ox14-c000259 ox14-c000326 ox14-c000184 ox14-c000333 ox14-c000254,true,ox14-c000184 ox14-c000254 ox14-c000259 ox14-c000326 ox14-c000333,ox14-c000333 ox14-c000326 ox14-c000259 ox14-c000254 ox14-c000184,false,false,-0.1000000000
