candidate_id,action_path,method,parameter_name,source,input_type,editable_input_count,required_input_count,parameter_count,evaluation_role,compatibility_class
ox14-c000001,/external-v14/case-000001,GET,header_000001,request_header,header,1,0,1,FINAL_CONFIRMATORY_ELIGIBLE,ADAPTER_SUPPORTED
ox14-c000002,/external-v14/case-000002,GET,header_000002,request_header,header,1,0,1,FINAL_CONFIRMATORY_ELIGIBLE,ADAPTER_SUPPORTED
ox14-c000003,/external-v14/case-000003,GET,input_000003,request_parameter_map,text,1,0,1,FINAL_CONFIRMATORY_ELIGIBLE,DIRECT
ox14-c000004,/external-v14/case-000004,GET,input_000004,dynamic_parameter_name,text,1,1,2,FINAL_CONFIRMATORY_ELIGIBLE,ADAPTER_SUPPORTED
ox14-c000005,/external-v14/case-000005,GET,input_000005,request_parameter,text,1,0,1,FINAL_CONFIRMATORY_ELIGIBLE,DIRECT
ox14-c000006,/external-v14/case-000006,GET,input_000006,query_string,text,1,0,1,FINAL_CONFIRMATORY_ELIGIBLE,DIRECT
ox14-c000007,/external-v14/case-000007,GET,input_000007,query_string,text,1,0,1,FINAL_CONFIRMATORY_ELIGIBLE,DIRECT
ox14-c000008,/external-v14/case-000008,GET,input_000008,query_string,text,1,0,1,FINAL_CONFIRMATORY_ELIGIBLE,DIRECT
ox14-c000009,/external-v14/case-000009,GET,header_000009,request_header,header,1,0,1,FINAL_CONFIRMATORY_ELIGIBLE,ADAPTER_SUPPORTED
ox14-c000010,/external-v14/case-000010,GET,header_000010,request_header,header,1,0,1,FINAL_CONFIRMATORY_ELIGIBLE,ADAPTER_SUPPORTED
ox14-c000011,/external-v14/case-000011,GET,header_000011,request_header,header,1,0,1,FINAL_CONFIRMATORY_ELIGIBLE,ADAPTER_SUPPORTED
ox14-c000012,/external-v14/case-000012,GET,header_000012,request_header,header,1,0,1,FINAL_CONFIRMATORY_ELIGIBLE,ADAPTER_SUPPORTED
ox14-c000013,/external-v14/case-000013,GET,header_000013,request_header,header,1,0,1,FINAL_CONFIRMATORY_ELIGIBLE,ADAPTER_SUPPORTED
ox14-c000014,/external-v14/case-000014,GET,header_000014,request_header,header,1,0,1,FINAL_CONFIRMATORY_ELIGIBLE,ADAPTER_SUPPORTED
ox14-c000015,/external-v14/case-000015,GET,header_000015,request_header,header,1,0,1,FINAL_CONFIRMATORY_ELIGIBLE,ADAPTER_SUPPORTED
ox14-c000016,/external-v14/case-000016,GET,header_000016,request_header,header,1,0,1,FINAL_CONFIRMATORY_ELIGIBLE,ADAPTER_SUPPORTED
ox14-c000017,/external-v14/case-000017,GET,header_000017,request_header,header,1,0,1,FINAL_CONFIRMATORY_ELIGIBLE,ADAPTER_SUPPORTED
ox14-c000018,/external-v14/case-000018,GET,header_000018,request_header,header,1,0,1,FINAL_CONFIRMATORY_ELIGIBLE,ADAPTER_SUPPORTED
ox14-c000019,/external-v14/case-000019,GET,header_000019,request_header,header,1,0,1,FINAL_CONFIRMATORY_ELIGIBLE,ADAPTER_SUPPORTED
ox14-c000020,/external-v14/case-000020,GET,header_000020,request_header,header,1,0,1,FINAL_CONFIRMATORY_ELIGIBLE,ADAPTER_SUPPORTED
ox14-c000021,/external-v14/case-000021,GET,header_000021,request_header,header,1,0,1,FINAL_CONFIRMATORY_ELIGIBLE,ADAPTER_SUPPORTED
ox14-c000022,/external-v14/case-000022,GET,header_000022,request_header,header,1,0,1,FINAL_CONFIRMATORY_ELIGIBLE,ADAPTER_SUPPORTED
ox14-c000023,/external-v14/case-000023,GET,header_000023,request_header,header,1,0,1,FINAL_CONFIRMATORY_ELIGIBLE,ADAPTER_SUPPORTED
ox14-c000024,/external-v14/case-000024,GET,header_000024,request_header,header,1,0,1,FINAL_CONFIRMATORY_ELIGIBLE,ADAPTER_SUPPORTED
ox14-c000025,/external-v14/case-000025,GET,header_000025,request_header,header,1,0,1,FINAL_CONFIRMATORY_ELIGIBLE,ADAPTER_SUPPORTED
ox14-c000026,/external-v14/case-000026,GET,header_000026,request_header,header,1,0,1,FINAL_CONFIRMATORY_ELIGIBLE,ADAPTER_SUPPORTED
ox14-c000027,/external-v14/case-000027,GET,header_000027,request_header,header,1,0,1,FINAL_CONFIRMATORY_ELIGIBLE,ADAPTER_SUPPORTED
ox14-c000029,/external-v14/case-000029,GET,header_000029,request_header,header,1,0,1,FINAL_CONFIRMATORY_ELIGIBLE,ADAPTER_SUPPORTED
ox14-c000030,/external-v14/case-000030,GET,header_000030,request_header,header,1,0,1,FINAL_CONFIRMATORY_ELIGIBLE,ADAPTER_SUPPORTED
ox14-c000031,/external-v14/case-000031,GET,header_000031,request_header,header,1,0,1,FINAL_CONFIRMATORY_ELIGIBLE,ADAPTER_SUPPORTED
ox14-c000032,/external-v14/case-000032,GET,header_000032,request_header,header,1,0,1,FINAL_CONFIRMATORY_ELIGIBLE,ADAPTER_SUPPORTED
ox14-c000033,/external-v14/case-000033,GET,header_000033,request_header,header,1,0,1,FINAL_CONFIRMATORY_ELIGIBLE,ADAPTER_SUPPORTED
ox14-c000034,/external-v14/case-000034,GET,header_000034,request_header,header,1,0,1,FINAL_CONFIRMATORY_ELIGIBLE,ADAPTER_SUPPORTED
ox14-c000035,/external-v14/case-000035,GET,header_000035,request_header,header,1,0,1,FINAL_CONFIRMATORY_ELIGIBLE,ADAPTER_SUPPORTED
ox14-c000036,/external-v14/case-000036,GET,header_000036,request_header,header,1,0,1,FINAL_CONFIRMATORY_ELIGIBLE,ADAPTER_SUPPORTED
ox14-c000037,/external-v14/case-000037,GET,header_000037,request_header,header,1,0,1,FINAL_CONFIRMATORY_ELIGIBLE,ADAPTER_SUPPORTED
ox14-c000038,/external-v14/case-000038,GET,header_000038,request_header,header,1,0,1,FINAL_CONFIRMATORY_ELIGIBLE,ADAPTER_SUPPORTED
ox14-c000039,/external-v14/case-000039,GET,header_000039,request_header,header,1,0,1,FINAL_CONFIRMATORY_ELIGIBLE,ADAPTER_SUPPORTED
ox14-c000040,/external-v14/case-000040,GET,header_000040,request_header,header,1,0,1,FINAL_CONFIRMATORY_ELIGIBLE,ADAPTER_SUPPORTED
ox14-c000041,/external-v14/case-000041,GET,header_000041,request_header,header,1,0,1,FINAL_CONFIRMATORY_ELIGIBLE,ADAPTER_SUPPORTED
ox14-c000042,/external-v14/case-000042,GET,input_000042,request_parameter,text,1,0,1,FINAL_CONFIRMATORY_ELIGIBLE,DIRECT
ox14-c000043,/external-v14/case-000043,GET,input_000043,request_parameter,text,1,0,1,FINAL_CONFIRMATORY_ELIGIBLE,DIRECT
ox14-c000044,/external-v14/case-000044,GET,input_000044,request_parameter,text,1,0,1,FINAL_CONFIRMATORY_ELIGIBLE,DIRECT
ox14-c000045,/external-v14/case-000045,GET,input_000045,request_parameter,text,1,0,1,FINAL_CONFIRMATORY_ELIGIBLE,DIRECT
