sequence,arm_id,scenario_id,trial_number,snapshot_path,candidate_test_budget,top_k,scored
1,deterministic_structural,ow14-s0001,1,model-facing/candidate-snapshots/ow14-s0001.json,4,4,true
2,deterministic_structural,ow14-s0002,1,model-facing/candidate-snapshots/ow14-s0002.json,4,4,true
3,deterministic_structural,ow14-s0003,1,model-facing/candidate-snapshots/ow14-s0003.json,4,4,true
4,deterministic_structural,ow14-s0004,1,model-facing/candidate-snapshots/ow14-s0004.json,4,4,true
5,deterministic_structural,ow14-s0005,1,model-facing/candidate-snapshots/ow14-s0005.json,4,4,true
6,deterministic_structural,ow14-s0006,1,model-facing/candidate-snapshots/ow14-s0006.json,4,4,true
7,deterministic_structural,ow14-s0007,1,model-facing/candidate-snapshots/ow14-s0007.json,4,4,true
8,deterministic_structural,ow14-s0008,1,model-facing/candidate-snapshots/ow14-s0008.json,4,4,true
9,deterministic_structural,ow14-s0009,1,model-facing/candidate-snapshots/ow14-s0009.json,4,4,true
10,deterministic_structural,ow14-s0010,1,model-facing/candidate-snapshots/ow14-s0010.json,4,4,true
11,deterministic_structural,ow14-s0011,1,model-facing/candidate-snapshots/ow14-s0011.json,4,4,true
12,deterministic_structural,ow14-s0012,1,model-facing/candidate-snapshots/ow14-s0012.json,4,4,true
13,deterministic_structural,ow14-s0013,1,model-facing/candidate-snapshots/ow14-s0013.json,4,4,true
14,deterministic_structural,ow14-s0014,1,model-facing/candidate-snapshots/ow14-s0014.json,4,4,true
15,deterministic_structural,ow14-s0015,1,model-facing/candidate-snapshots/ow14-s0015.json,4,4,true
16,deterministic_structural,ow14-s0016,1,model-facing/candidate-snapshots/ow14-s0016.json,4,4,true
17,deterministic_structural,ow14-s0017,1,model-facing/candidate-snapshots/ow14-s0017.json,4,4,true
18,deterministic_structural,ow14-s0018,1,model-facing/candidate-snapshots/ow14-s0018.json,4,4,true
19,deterministic_structural,ow14-s0019,1,model-facing/candidate-snapshots/ow14-s0019.json,4,4,true
20,deterministic_structural,ow14-s0020,1,model-facing/candidate-snapshots/ow14-s0020.json,4,4,true
21,deterministic_structural,ow14-s0021,1,model-facing/candidate-snapshots/ow14-s0021.json,4,4,true
22,deterministic_structural,ow14-s0022,1,model-facing/candidate-snapshots/ow14-s0022.json,4,4,true
23,deterministic_structural,ow14-s0023,1,model-facing/candidate-snapshots/ow14-s0023.json,4,4,true
24,deterministic_structural,ow14-s0024,1,model-facing/candidate-snapshots/ow14-s0024.json,4,4,true
25,deterministic_structural,ow14-s0025,1,model-facing/candidate-snapshots/ow14-s0025.json,4,4,true
26,deterministic_structural,ow14-s0026,1,model-facing/candidate-snapshots/ow14-s0026.json,4,4,true
27,deterministic_structural,ow14-s0027,1,model-facing/candidate-snapshots/ow14-s0027.json,4,4,true
