candidate_id,negative_only_placements,positive_decoy_placements,total_non_vulnerable_pack_placements
ox14-c000012,1,6,7
ox14-c000016,1,6,7
ox14-c000023,1,6,7
ox14-c000025,1,6,7
ox14-c000026,1,6,7
ox14-c000029,1,6,7
ox14-c000030,1,7,8
ox14-c000031,1,7,8
ox14-c000033,1,6,7
ox14-c000034,1,6,7
ox14-c000036,1,6,7
ox14-c000037,1,6,7
ox14-c000044,1,7,8
ox14-c000046,1,6,7
ox14-c000048,1,6,7
ox14-c000053,1,6,7
ox14-c000056,0,6,6
ox14-c000058,1,6,7
ox14-c000060,1,6,7
ox14-c000061,1,6,7
ox14-c000064,1,6,7
ox14-c000065,1,7,8
ox14-c000066,1,7,8
ox14-c000067,1,6,7
ox14-c000070,1,6,7
ox14-c000072,1,6,7
ox14-c000075,1,6,7
ox14-c000077,1,6,7
ox14-c000081,1,6,7
ox14-c000082,1,6,7
ox14-c000083,1,7,8
ox14-c000085,1,6,7
ox14-c000087,1,6,7
ox14-c000090,1,6,7
ox14-c000093,1,6,7
ox14-c000099,1,6,7
ox14-c000100,1,6,7
ox14-c000101,1,6,7
ox14-c000102,0,6,6
ox14-c000103,1,6,7
ox14-c000107,1,6,7
ox14-c000108,1,6,7
ox14-c000109,1,6,7
ox14-c000111,1,6,7
ox14-c000112,1,7,8
ox14-c000113,1,6,7
ox14-c000117,1,6,7
ox14-c000118,1,6,7
ox14-c000121,1,6,7
ox14-c000125,1,7,8
ox14-c000127,1,6,7
ox14-c000136,1,6,7
ox14-c000140,1,6,7
ox14-c000141,1,6,7
ox14-c000161,1,6,7
ox14-c000164,1,7,8
ox14-c000165,1,6,7
ox14-c000167,1,6,7
ox14-c000177,1,6,7
ox14-c000181,1,6,7
ox14-c000183,1,6,7
ox14-c000184,1,7,8
ox14-c000185,1,6,7
ox14-c000188,1,6,7
ox14-c000189,1,7,8
ox14-c000197,1,6,7
ox14-c000198,1,6,7
ox14-c000204,1,7,8
ox14-c000207,1,6,7
ox14-c000208,1,7,8
ox14-c000209,1,7,8
ox14-c000210,1,6,7
ox14-c000211,1,6,7
ox14-c000212,1,6,7
ox14-c000216,1,6,7
ox14-c000219,1,6,7
ox14-c000220,1,6,7
ox14-c000223,1,6,7
ox14-c000224,1,7,8
ox14-c000225,1,6,7
ox14-c000226,1,6,7
ox14-c000229,1,7,8
ox14-c000236,1,7,8
ox14-c000245,1,6,7
ox14-c000246,1,6,7
ox14-c000247,1,6,7
ox14-c000251,1,6,7
ox14-c000252,1,6,7
ox14-c000254,1,7,8
ox14-c000259,1,7,8
ox14-c000261,1,7,8
ox14-c000265,1,6,7
ox14-c000268,1,6,7
ox14-c000270,1,6,7
ox14-c000272,1,6,7
ox14-c000273,1,6,7
ox14-c000277,1,6,7
ox14-c000278,1,7,8
ox14-c000293,1,6,7
ox14-c000294,1,7,8
ox14-c000296,1,6,7
ox14-c000297,1,6,7
ox14-c000303,1,6,7
ox14-c000307,1,6,7
ox14-c000310,1,7,8
ox14-c000311,1,6,7
ox14-c000314,1,6,7
ox14-c000315,1,6,7
ox14-c000320,1,6,7
ox14-c000323,1,6,7
ox14-c000333,1,7,8
ox14-c000337,1,6,7
ox14-c000341,1,7,8
ox14-c000344,1,6,7
ox14-c000346,1,6,7
ox14-c000348,1,7,8
ox14-c000350,1,6,7
ox14-c000351,1,6,7
ox14-c000352,1,6,7
ox14-c000353,1,6,7
ox14-c000354,1,6,7
ox14-c000355,1,7,8
ox14-c000357,1,6,7
ox14-c000362,1,7,8
ox14-c000363,1,6,7
ox14-c000369,1,6,7
ox14-c000373,1,6,7
ox14-c000374,1,6,7
ox14-c000377,1,6,7
ox14-c000381,1,6,7
ox14-c000384,1,6,7
ox14-c000387,1,6,7
ox14-c000389,1,6,7
ox14-c000391,1,6,7
ox14-c000395,1,6,7
ox14-c000396,1,6,7
ox14-c000398,1,6,7
ox14-c000399,1,6,7
ox14-c000402,1,6,7
ox14-c000404,1,6,7
ox14-c000405,1,6,7
ox14-c000406,1,6,7
ox14-c000409,1,7,8
ox14-c000410,1,6,7
ox14-c000414,1,7,8
ox14-c000422,1,6,7
ox14-c000423,1,6,7
ox14-c000426,1,7,8
ox14-c000427,1,6,7
ox14-c000429,1,6,7
ox14-c000432,1,7,8
ox14-c000434,1,6,7
