all_five_candidates_tied_pre_tiebreak,candidate_count,distinct_pre_tiebreak_scores,final_order_partly_determined_by_stable_tiebreak,final_order_wholly_determined_by_stable_tiebreak,largest_tie_group_size,ordered_candidate_ids,scenario_id,scenario_type,score_by_candidate,score_equivalence_pattern,score_vector_in_final_order,score_vector_pattern,vulnerable_alignment_bucket,vulnerable_candidate_rank,vulnerable_distractors_sharing_score,vulnerable_has_unique_pre_tiebreak_score,vulnerable_in_best_score_class,vulnerable_in_worst_score_class,vulnerable_pre_tiebreak_score,vulnerable_score_class_rank,vulnerable_tied_with_all_distractors
False,5,3,True,False,2,"[""ox14-c000189"", ""ox14-c000348"", ""ox14-c000227"", ""ox14-c000236"", ""ox14-c000030""]",ow14-s0001,positive,"{""ox14-c000030"": 117, ""ox14-c000189"": 132, ""ox14-c000227"": 127, ""ox14-c000236"": 127, ""ox14-c000348"": 132}",2-2-1,"[132, 132, 127, 127, 117]",132>132>127>127>117,tied_in_middle_score_class,3,1,False,False,False,127,2,False
False,5,2,True,False,3,"[""ox14-c000209"", ""ox14-c000341"", ""ox14-c000426"", ""ox14-c000083"", ""ox14-c000222""]",ow14-s0002,positive,"{""ox14-c000083"": 127, ""ox14-c000209"": 132, ""ox14-c000222"": 127, ""ox14-c000341"": 132, ""ox14-c000426"": 132}",3-2,"[132, 132, 132, 127, 127]",132>132>132>127>127,tied_for_lowest,5,1,False,False,True,127,2,False
True,5,1,True,True,5,"[""ox14-c000184"", ""ox14-c000254"", ""ox14-c000259"", ""ox14-c000326"", ""ox14-c000333""]",ow14-s0003,positive,"{""ox14-c000184"": 132, ""ox14-c000254"": 132, ""ox14-c000259"": 132, ""ox14-c000326"": 132, ""ox14-c000333"": 132}",5,"[132, 132, 132, 132, 132]",132>132>132>132>132,all_candidates_tied_for_highest_and_lowest,4,4,False,True,True,132,1,True
False,5,3,True,False,3,"[""ox14-c000055"", ""ox14-c000278"", ""ox14-c000355"", ""ox14-c000229"", ""ox14-c000031""]",ow14-s0004,positive,"{""ox14-c000031"": 117, ""ox14-c000055"": 132, ""ox14-c000229"": 127, ""ox14-c000278"": 132, ""ox14-c000355"": 132}",3-1-1,"[132, 132, 132, 127, 117]",132>132>132>127>117,tied_for_highest,1,2,False,True,False,132,1,False
False,5,2,True,False,4,"[""ox14-c000065"", ""ox14-c000098"", ""ox14-c000125"", ""ox14-c000204"", ""ox14-c000294""]",ow14-s0005,positive,"{""ox14-c000065"": 132, ""ox14-c000098"": 132, ""ox14-c000125"": 132, ""ox14-c000204"": 132, ""ox14-c000294"": 117}",4-1,"[132, 132, 132, 132, 117]",132>132>132>132>117,tied_for_highest,2,3,False,True,False,132,1,False
False,5,2,True,False,4,"[""ox14-c000044"", ""ox14-c000066"", ""ox14-c000334"", ""ox14-c000409"", ""ox14-c000164""]",ow14-s0006,positive,"{""ox14-c000044"": 132, ""ox14-c000066"": 132, ""ox14-c000164"": 117, ""ox14-c000334"": 132, ""ox14-c000409"": 132}",4-1,"[132, 132, 132, 132, 117]",132>132>132>132>117,tied_for_highest,3,3,False,True,False,132,1,False
True,5,1,True,True,5,"[""ox14-c000112"", ""ox14-c000208"", ""ox14-c000255"", ""ox14-c000261"", ""ox14-c000432""]",ow14-s0007,positive,"{""ox14-c000112"": 132, ""ox14-c000208"": 132, ""ox14-c000255"": 132, ""ox14-c000261"": 132, ""ox14-c000432"": 132}",5,"[132, 132, 132, 132, 132]",132>132>132>132>132,all_candidates_tied_for_highest_and_lowest,3,4,False,True,True,132,1,True
False,5,3,True,False,2,"[""ox14-c000414"", ""ox14-c000224"", ""ox14-c000362"", ""ox14-c000173"", ""ox14-c000310""]",ow14-s0008,positive,"{""ox14-c000173"": 117, ""ox14-c000224"": 127, ""ox14-c000310"": 117, ""ox14-c000362"": 127, ""ox14-c000414"": 132}",2-2-1,"[132, 127, 127, 117, 117]",132>127>127>117>117,tied_for_lowest,4,1,False,False,True,117,3,False
False,5,2,True,False,4,"[""ox14-c000063"", ""ox14-c000210"", ""ox14-c000391"", ""ox14-c000402"", ""ox14-c000036""]",ow14-s0009,positive,"{""ox14-c000036"": 117, ""ox14-c000063"": 132, ""ox14-c000210"": 132, ""ox14-c000391"": 132, ""ox14-c000402"": 132}",4-1,"[132, 132, 132, 132, 117]",132>132>132>132>117,tied_for_highest,1,3,False,True,False,132,1,False
False,5,2,True,False,4,"[""ox14-c000067"", ""ox14-c000252"", ""ox14-c000320"", ""ox14-c000349"", ""ox14-c000225""]",ow14-s0010,positive,"{""ox14-c000067"": 132, ""ox14-c000225"": 127, ""ox14-c000252"": 132, ""ox14-c000320"": 132, ""ox14-c000349"": 132}",4-1,"[132, 132, 132, 132, 127]",132>132>132>132>127,tied_for_highest,4,3,False,True,False,132,1,False
False,5,3,True,False,2,"[""ox14-c000140"", ""ox14-c000329"", ""ox14-c000090"", ""ox14-c000369"", ""ox14-c000165""]",ow14-s0011,positive,"{""ox14-c000090"": 127, ""ox14-c000140"": 132, ""ox14-c000165"": 117, ""ox14-c000329"": 132, ""ox14-c000369"": 127}",2-2-1,"[132, 132, 127, 127, 117]",132>132>127>127>117,tied_for_highest,2,1,False,True,False,132,1,False
False,5,2,True,False,4,"[""ox14-c000072"", ""ox14-c000244"", ""ox14-c000265"", ""ox14-c000389"", ""ox14-c000081""]",ow14-s0012,positive,"{""ox14-c000072"": 132, ""ox14-c000081"": 127, ""ox14-c000244"": 132, ""ox14-c000265"": 132, ""ox14-c000389"": 132}",4-1,"[132, 132, 132, 132, 127]",132>132>132>132>127,tied_for_highest,2,3,False,True,False,132,1,False
True,5,1,True,True,5,"[""ox14-c000046"", ""ox14-c000211"", ""ox14-c000246"", ""ox14-c000323"", ""ox14-c000380""]",ow14-s0013,positive,"{""ox14-c000046"": 132, ""ox14-c000211"": 132, ""ox14-c000246"": 132, ""ox14-c000323"": 132, ""ox14-c000380"": 132}",5,"[132, 132, 132, 132, 132]",132>132>132>132>132,all_candidates_tied_for_highest_and_lowest,5,4,False,True,True,132,1,True
