arm_a,arm_a_mean,arm_b,arm_b_mean,bootstrap_ci_lower,bootstrap_ci_upper,comparison_id,comparison_role,difference_orientation,holm_adjusted_p_value,holm_significant_at_alpha_0_05,mean_paired_difference,median_paired_difference,metric,negative_difference_count,paired_n,positive_difference_count,rank_biserial_correlation,raw_p_value,wilcoxon_statistic,zero_difference_count
local_qwen,0.4925531914893617,deterministic_structural,0.4570921985815603,-0.020709219858156026,0.09220035460992894,primary_local_qwen_vs_deterministic_structural_mrr,primary,local_qwen - deterministic_structural,not_applicable,not_applicable,0.03546099290780142,0.0,mrr,97,235,84,0.03482568108211088,0.6591229458090266,12665.5,54
local_qwen,0.4925531914893617,proprietary_gpt,0.47422340425531917,-0.02918492907801418,0.0660326241134751,local_qwen_vs_proprietary_gpt_mrr,exploratory,local_qwen - proprietary_gpt,1.0,False,0.018329787234042553,0.0,mrr,95,235,92,0.014687052798071854,0.8510716185890432,13082.0,48
proprietary_gpt,0.4733015536723164,deterministic_structural,0.457274011299435,-0.032317796610169494,0.06377153954802257,proprietary_gpt_vs_deterministic_structural_mrr,exploratory,proprietary_gpt - deterministic_structural,1.0,False,0.016027542372881357,0.0,mrr,91,236,95,0.047057060432355476,0.5477654963057299,12717.5,50
proprietary_gpt,0.23326271186440678,deterministic_structural,0.2033898305084746,-0.03961864406779661,0.09745762711864407,proprietary_gpt_vs_deterministic_structural_top1,exploratory,proprietary_gpt - deterministic_structural,1.0,False,0.029872881355932204,0.0,top1,40,236,63,0.16352663342954604,0.10078654647539512,7969.5,133
local_qwen,0.24680851063829787,deterministic_structural,0.20425531914893616,-0.03404255319148936,0.11914893617021277,local_qwen_vs_deterministic_structural_top1,exploratory,local_qwen - deterministic_structural,1.0,False,0.0425531914893617,0.0,top1,40,235,50,0.1111111111111111,0.29184054514378843,7620.0,145
local_qwen,0.24680851063829787,proprietary_gpt,0.2342553191489362,-0.052340425531914904,0.07744680851063832,local_qwen_vs_proprietary_gpt_top1,exploratory,local_qwen - proprietary_gpt,1.0,False,0.0125531914893617,0.0,top1,52,235,47,-0.01830129249484088,0.856999226014981,9038.5,136
proprietary_gpt,0.4108050847457627,deterministic_structural,0.4152542372881356,-0.08305084745762713,0.07330508474576271,proprietary_gpt_vs_deterministic_structural_top2,exploratory,proprietary_gpt - deterministic_structural,1.0,False,-0.004449152542372878,0.0,top2,74,236,71,-0.011269974768713205,0.8950999540711426,11756.0,91
local_qwen,0.44680851063829785,deterministic_structural,0.4127659574468085,-0.05531914893617021,0.12340425531914893,local_qwen_vs_deterministic_structural_top2,exploratory,local_qwen - deterministic_structural,1.0,False,0.03404255319148936,0.0,top2,54,235,62,0.06896551724137931,0.4576140668763148,9585.0,119
local_qwen,0.44680851063829785,proprietary_gpt,0.4125531914893617,-0.04127659574468085,0.11128191489361658,local_qwen_vs_proprietary_gpt_top2,exploratory,local_qwen - proprietary_gpt,1.0,False,0.03425531914893617,0.0,top2,67,235,75,0.06725459137805556,0.4356731218020651,10894.0,93
proprietary_gpt,0.7813559322033898,deterministic_structural,0.788135593220339,-0.05084745762711865,0.03813559322033899,proprietary_gpt_vs_deterministic_structural_top4,exploratory,proprietary_gpt - deterministic_structural,1.0,False,-0.006779661016949151,0.0,top4,30,236,23,-0.11877807726864331,0.3883460689994943,4904.0,183
local_qwen,0.8297872340425532,deterministic_structural,0.7872340425531915,-0.029787234042553193,0.1148936170212766,local_qwen_vs_deterministic_structural_top4,exploratory,local_qwen - deterministic_structural,1.0,False,0.0425531914893617,0.0,top4,32,235,42,0.13513513513513514,0.2450420106323863,6352.0,161
local_qwen,0.8297872340425532,proprietary_gpt,0.7812765957446809,-0.013617021276595746,0.11148936170212766,local_qwen_vs_proprietary_gpt_top4,exploratory,local_qwen - proprietary_gpt,0.22317564812998253,False,0.04851063829787234,0.0,top4,28,235,51,0.26246447946267115,0.020288695284543867,5710.0,156
