arm_id,expected_trials,invalid_or_failed_trials,mean_rr,rr_max,rr_min,rr_population_stdev,rr_range,rr_values,scenario_id,valid_trials,valid_vulnerable_ranks
proprietary_gpt,5,0,1.0,1.0,1.0,0.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",ow14-s0001,5,"[1, 1, 1, 1, 1]"
proprietary_gpt,5,0,0.32,0.5,0.2,0.14696938456699069,0.3,"[0.5, 0.2, 0.2, 0.5, 0.2]",ow14-s0002,5,"[2, 5, 5, 2, 5]"
proprietary_gpt,5,0,0.5,0.5,0.5,0.0,0.0,"[0.5, 0.5, 0.5, 0.5, 0.5]",ow14-s0003,5,"[2, 2, 2, 2, 2]"
proprietary_gpt,5,0,0.6,1.0,0.5,0.2,0.5,"[1.0, 0.5, 0.5, 0.5, 0.5]",ow14-s0004,5,"[1, 2, 2, 2, 2]"
proprietary_gpt,5,0,0.35,0.5,0.25,0.1224744871391589,0.25,"[0.5, 0.25, 0.25, 0.25, 0.5]",ow14-s0005,5,"[2, 4, 4, 4, 2]"
proprietary_gpt,5,0,0.5,0.5,0.5,0.0,0.0,"[0.5, 0.5, 0.5, 0.5, 0.5]",ow14-s0006,5,"[2, 2, 2, 2, 2]"
proprietary_gpt,5,0,0.2633333333333333,0.3333333333333333,0.2,0.059999999999999984,0.1333333333333333,"[0.3333333333333333, 0.3333333333333333, 0.2, 0.25, 0.2]",ow14-s0007,5,"[3, 3, 5, 4, 5]"
proprietary_gpt,5,0,0.2,0.2,0.2,0.0,0.0,"[0.2, 0.2, 0.2, 0.2, 0.2]",ow14-s0008,5,"[5, 5, 5, 5, 5]"
proprietary_gpt,5,0,0.3,0.5,0.25,0.1,0.25,"[0.25, 0.25, 0.25, 0.5, 0.25]",ow14-s0009,5,"[4, 4, 4, 2, 4]"
proprietary_gpt,5,0,0.35,0.5,0.25,0.1224744871391589,0.25,"[0.25, 0.25, 0.5, 0.25, 0.5]",ow14-s0010,5,"[4, 4, 2, 4, 2]"
proprietary_gpt,5,0,0.31666666666666665,0.3333333333333333,0.25,0.033333333333333326,0.08333333333333331,"[0.3333333333333333, 0.3333333333333333, 0.25, 0.3333333333333333, 0.3333333333333333]",ow14-s0011,5,"[3, 3, 4, 3, 3]"
proprietary_gpt,5,0,0.7333333333333333,1.0,0.3333333333333333,0.32659863237109044,0.6666666666666667,"[0.3333333333333333, 1.0, 1.0, 1.0, 0.3333333333333333]",ow14-s0012,5,"[3, 1, 1, 1, 3]"
proprietary_gpt,5,0,0.3,0.3333333333333333,0.25,0.04082482904638629,0.08333333333333331,"[0.3333333333333333, 0.3333333333333333, 0.25, 0.3333333333333333, 0.25]",ow14-s0013,5,"[3, 3, 4, 3, 4]"
proprietary_gpt,5,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",ow14-s0014,5,"[3, 3, 3, 3, 3]"
proprietary_gpt,5,0,0.8666666666666667,1.0,0.3333333333333333,0.26666666666666666,0.6666666666666667,"[1.0, 1.0, 1.0, 0.3333333333333333, 1.0]",ow14-s0015,5,"[1, 1, 1, 3, 1]"
proprietary_gpt,5,0,0.75,1.0,0.25,0.31622776601683794,0.75,"[1.0, 1.0, 0.25, 1.0, 0.5]",ow14-s0016,5,"[1, 1, 4, 1, 2]"
proprietary_gpt,5,0,0.3333333333333333,0.5,0.25,0.09128709291752768,0.25,"[0.25, 0.3333333333333333, 0.3333333333333333, 0.25, 0.5]",ow14-s0017,5,"[4, 3, 3, 4, 2]"
proprietary_gpt,5,0,0.2833333333333333,0.3333333333333333,0.25,0.04082482904638629,0.08333333333333331,"[0.3333333333333333, 0.25, 0.25, 0.3333333333333333, 0.25]",ow14-s0018,5,"[3, 4, 4, 3, 4]"
proprietary_gpt,5,0,0.6,1.0,0.5,0.2,0.5,"[0.5, 0.5, 0.5, 1.0, 0.5]",ow14-s0019,5,"[2, 2, 2, 1, 2]"
proprietary_gpt,5,0,1.0,1.0,1.0,0.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",ow14-s0020,5,"[1, 1, 1, 1, 1]"
proprietary_gpt,5,0,0.31666666666666665,0.3333333333333333,0.25,0.033333333333333326,0.08333333333333331,"[0.3333333333333333, 0.3333333333333333, 0.25, 0.3333333333333333, 0.3333333333333333]",ow14-s0021,5,"[3, 3, 4, 3, 3]"
proprietary_gpt,5,0,0.55,1.0,0.25,0.2449489742783178,0.75,"[0.5, 0.25, 0.5, 0.5, 1.0]",ow14-s0022,5,"[2, 4, 2, 2, 1]"
proprietary_gpt,5,0,0.45,0.5,0.25,0.1,0.25,"[0.5, 0.5, 0.5, 0.5, 0.25]",ow14-s0023,5,"[2, 2, 2, 2, 4]"
proprietary_gpt,5,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",ow14-s0024,5,"[3, 3, 3, 3, 3]"
proprietary_gpt,5,0,0.2,0.2,0.2,0.0,0.0,"[0.2, 0.2, 0.2, 0.2, 0.2]",ow14-s0025,5,"[5, 5, 5, 5, 5]"
proprietary_gpt,5,0,0.3,0.3333333333333333,0.25,0.04082482904638629,0.08333333333333331,"[0.25, 0.3333333333333333, 0.25, 0.3333333333333333, 0.3333333333333333]",ow14-s0026,5,"[4, 3, 4, 3, 3]"
proprietary_gpt,5,0,0.3,0.3333333333333333,0.25,0.04082482904638629,0.08333333333333331,"[0.25, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.25]",ow14-s0027,5,"[4, 3, 3, 3, 4]"
proprietary_gpt,5,0,1.0,1.0,1.0,0.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",ow14-s0028,5,"[1, 1, 1, 1, 1]"
proprietary_gpt,5,0,0.29,0.3333333333333333,0.2,0.05537749241945382,0.1333333333333333,"[0.2, 0.3333333333333333, 0.25, 0.3333333333333333, 0.3333333333333333]",ow14-s0029,5,"[5, 3, 4, 3, 3]"
proprietary_gpt,5,0,0.2,0.2,0.2,0.0,0.0,"[0.2, 0.2, 0.2, 0.2, 0.2]",ow14-s0030,5,"[5, 5, 5, 5, 5]"
proprietary_gpt,5,0,0.39999999999999997,0.5,0.3333333333333333,0.08164965809277261,0.16666666666666669,"[0.5, 0.3333333333333333, 0.5, 0.3333333333333333, 0.3333333333333333]",ow14-s0031,5,"[2, 3, 2, 3, 3]"
proprietary_gpt,5,0,0.74,1.0,0.2,0.332264954516723,0.8,"[1.0, 1.0, 1.0, 0.5, 0.2]",ow14-s0032,5,"[1, 1, 1, 2, 5]"
proprietary_gpt,5,0,1.0,1.0,1.0,0.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",ow14-s0033,5,"[1, 1, 1, 1, 1]"
proprietary_gpt,5,0,0.2,0.2,0.2,0.0,0.0,"[0.2, 0.2, 0.2, 0.2, 0.2]",ow14-s0034,5,"[5, 5, 5, 5, 5]"
proprietary_gpt,5,0,0.25,0.25,0.25,0.0,0.0,"[0.25, 0.25, 0.25, 0.25, 0.25]",ow14-s0035,5,"[4, 4, 4, 4, 4]"
proprietary_gpt,5,0,0.84,1.0,0.2,0.32,0.8,"[1.0, 1.0, 1.0, 1.0, 0.2]",ow14-s0036,5,"[1, 1, 1, 1, 5]"
proprietary_gpt,5,0,0.31666666666666665,0.3333333333333333,0.25,0.033333333333333326,0.08333333333333331,"[0.3333333333333333, 0.3333333333333333, 0.25, 0.3333333333333333, 0.3333333333333333]",ow14-s0037,5,"[3, 3, 4, 3, 3]"
proprietary_gpt,5,0,0.2,0.2,0.2,0.0,0.0,"[0.2, 0.2, 0.2, 0.2, 0.2]",ow14-s0038,5,"[5, 5, 5, 5, 5]"
proprietary_gpt,5,0,0.2,0.2,0.2,0.0,0.0,"[0.2, 0.2, 0.2, 0.2, 0.2]",ow14-s0039,5,"[5, 5, 5, 5, 5]"
proprietary_gpt,5,0,0.7666666666666666,1.0,0.3333333333333333,0.2905932629027116,0.6666666666666667,"[0.3333333333333333, 1.0, 1.0, 0.5, 1.0]",ow14-s0040,5,"[3, 1, 1, 2, 1]"
proprietary_gpt,5,0,0.5,0.5,0.5,0.0,0.0,"[0.5, 0.5, 0.5, 0.5, 0.5]",ow14-s0041,5,"[2, 2, 2, 2, 2]"
proprietary_gpt,5,0,0.37333333333333335,0.5,0.2,0.11430952132988165,0.3,"[0.3333333333333333, 0.5, 0.3333333333333333, 0.5, 0.2]",ow14-s0042,5,"[3, 2, 3, 2, 5]"
proprietary_gpt,5,0,0.45,0.5,0.25,0.1,0.25,"[0.5, 0.5, 0.25, 0.5, 0.5]",ow14-s0043,5,"[2, 2, 4, 2, 2]"
proprietary_gpt,5,0,1.0,1.0,1.0,0.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",ow14-s0044,5,"[1, 1, 1, 1, 1]"
proprietary_gpt,5,0,0.2,0.2,0.2,0.0,0.0,"[0.2, 0.2, 0.2, 0.2, 0.2]",ow14-s0045,5,"[5, 5, 5, 5, 5]"
proprietary_gpt,5,0,0.5,0.5,0.5,0.0,0.0,"[0.5, 0.5, 0.5, 0.5, 0.5]",ow14-s0046,5,"[2, 2, 2, 2, 2]"
proprietary_gpt,5,0,1.0,1.0,1.0,0.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",ow14-s0047,5,"[1, 1, 1, 1, 1]"
proprietary_gpt,5,0,0.26,0.5,0.2,0.12,0.3,"[0.2, 0.2, 0.5, 0.2, 0.2]",ow14-s0048,5,"[5, 5, 2, 5, 5]"
proprietary_gpt,5,0,0.25,0.25,0.25,0.0,0.0,"[0.25, 0.25, 0.25, 0.25, 0.25]",ow14-s0049,5,"[4, 4, 4, 4, 4]"
proprietary_gpt,5,0,0.32,0.5,0.2,0.14696938456699069,0.3,"[0.2, 0.5, 0.2, 0.2, 0.5]",ow14-s0050,5,"[5, 2, 5, 5, 2]"
