scenario_id,candidate_count,eligible_for_one_vulnerable_random_reference,random_top1,random_top2,random_top4,random_mrr
x13-001,4,True,0.25,0.5,1.0,0.5208333333333334
x13-002,5,True,0.2,0.4,0.8,0.45666666666666667
x13-003,6,True,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.4083333333333334
x13-004,6,True,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.4083333333333334
x13-005,7,True,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.3704081632653061
x13-006,8,True,0.125,0.25,0.5,0.33973214285714287
x13-007,5,True,0.2,0.4,0.8,0.45666666666666667
x13-008,6,True,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.4083333333333334
x13-009,4,True,0.25,0.5,1.0,0.5208333333333334
x13-010,7,True,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.3704081632653061
x13-011,6,True,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.4083333333333334
x13-012,8,True,0.125,0.25,0.5,0.33973214285714287
x13-013,5,True,0.2,0.4,0.8,0.45666666666666667
x13-014,6,True,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.4083333333333334
x13-015,7,True,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.3704081632653061
x13-016,5,True,0.2,0.4,0.8,0.45666666666666667
x13-017,4,False,not_applicable,not_applicable,not_applicable,not_applicable
x13-018,5,False,not_applicable,not_applicable,not_applicable,not_applicable
x13-019,6,False,not_applicable,not_applicable,not_applicable,not_applicable
x13-020,7,False,not_applicable,not_applicable,not_applicable,not_applicable
x13-021,6,False,not_applicable,not_applicable,not_applicable,not_applicable
x13-022,6,False,not_applicable,not_applicable,not_applicable,not_applicable
x13-023,8,False,not_applicable,not_applicable,not_applicable,not_applicable
x13-024,4,False,not_applicable,not_applicable,not_applicable,not_applicable
