scenario_id,candidate_count,vulnerable_candidate_count,scenario_type,ranking_budget_k,top1_meaningful,top2_meaningful,top4_meaningful,top4_automatic_under_random,snapshot_path,snapshot_candidate_ids_sha256,ground_truth_source
x13-001,4,1,positive,4,True,True,True,True,results/xss-v13-protocol-prep/candidate-snapshots/x13-001.json,8e8fd6ee42596ba8cf11b6264b00de0d3dd12f11d6f81222d32a9747828dd762,examples/benchmarks/xss-v13-ground-truth.json
x13-002,5,1,positive,4,True,True,True,False,results/xss-v13-protocol-prep/candidate-snapshots/x13-002.json,1056e42f7d24b587d6e1fd1d0de931725e2ed5252d6ad0481a8d11d876d041e2,examples/benchmarks/xss-v13-ground-truth.json
x13-003,6,1,positive,4,True,True,True,False,results/xss-v13-protocol-prep/candidate-snapshots/x13-003.json,9e1bb7fc71e0c72e9ff4b15486b7a8f5fea9c56e49d75010f05e97129baf0d2d,examples/benchmarks/xss-v13-ground-truth.json
x13-004,6,1,positive,4,True,True,True,False,results/xss-v13-protocol-prep/candidate-snapshots/x13-004.json,e1fb16a2b83ba54f0fbacfd41611a220c9a17725031f3c427ff4aa7236c8b61b,examples/benchmarks/xss-v13-ground-truth.json
x13-005,7,1,positive,4,True,True,True,False,results/xss-v13-protocol-prep/candidate-snapshots/x13-005.json,0e53cf12e374604a11d4378c7918caa796c8440ab77f961c31674f3e02cb2cc7,examples/benchmarks/xss-v13-ground-truth.json
x13-006,8,1,positive,4,True,True,True,False,results/xss-v13-protocol-prep/candidate-snapshots/x13-006.json,85fe5b8947a3a3c53963c6e87abb809e0e83bea800f7871dbb2a6d5b27904801,examples/benchmarks/xss-v13-ground-truth.json
x13-007,5,1,positive,4,True,True,True,False,results/xss-v13-protocol-prep/candidate-snapshots/x13-007.json,10d9f312412cfb42eb1a0795f46543dff526131fb848313e3a91226c42140294,examples/benchmarks/xss-v13-ground-truth.json
x13-008,6,1,positive,4,True,True,True,False,results/xss-v13-protocol-prep/candidate-snapshots/x13-008.json,8473fbf6f36e4b44299a4d19ad5fd305f5bd0872dc820c426897e739464c238e,examples/benchmarks/xss-v13-ground-truth.json
x13-009,4,1,positive,4,True,True,True,True,results/xss-v13-protocol-prep/candidate-snapshots/x13-009.json,96767f6b47a2e72f1969a7d84d075f2e274fc701f71e91001c77447667cb4e32,examples/benchmarks/xss-v13-ground-truth.json
x13-010,7,1,positive,4,True,True,True,False,results/xss-v13-protocol-prep/candidate-snapshots/x13-010.json,df21799a9d05fa3b74b2d68f54adf8751e01a9b8d498a0bc2c204a67dec12c21,examples/benchmarks/xss-v13-ground-truth.json
x13-011,6,1,positive,4,True,True,True,False,results/xss-v13-protocol-prep/candidate-snapshots/x13-011.json,0b763da32107aea22b77c8ee671e327c548ac42640e505f7cd8c0938ec0756d4,examples/benchmarks/xss-v13-ground-truth.json
x13-012,8,1,positive,4,True,True,True,False,results/xss-v13-protocol-prep/candidate-snapshots/x13-012.json,542f3dabf2fd7c6614330b72209b4ed36a787d6236d4823c407579aeed5917ac,examples/benchmarks/xss-v13-ground-truth.json
x13-013,5,1,positive,4,True,True,True,False,results/xss-v13-protocol-prep/candidate-snapshots/x13-013.json,d9145b8db944b38941a6c01df9beba2670800e95a84db9e0323d6efd55b3478b,examples/benchmarks/xss-v13-ground-truth.json
x13-014,6,1,positive,4,True,True,True,False,results/xss-v13-protocol-prep/candidate-snapshots/x13-014.json,7201d01ae905ca3edde511ae941bc84d15ebf196c9c731fb04a570d47016ebfb,examples/benchmarks/xss-v13-ground-truth.json
x13-015,7,1,positive,4,True,True,True,False,results/xss-v13-protocol-prep/candidate-snapshots/x13-015.json,ebeb5f3b8b711f86f0a414148b7e6ce912a571a644246057abb0e43a8d0f16f3,examples/benchmarks/xss-v13-ground-truth.json
x13-016,5,1,positive,4,True,True,True,False,results/xss-v13-protocol-prep/candidate-snapshots/x13-016.json,bb6d6888d5799b8793b79c0065fda7215662a92f6d77bb3f67979025dcf5d3d6,examples/benchmarks/xss-v13-ground-truth.json
x13-017,4,0,negative,4,False,False,False,False,results/xss-v13-protocol-prep/candidate-snapshots/x13-017.json,7371f56e7c5870a3768b6c97f705cc8a85cf2783eb6d86b332c1ffe4bf322da8,examples/benchmarks/xss-v13-ground-truth.json
x13-018,5,0,negative,4,False,False,False,False,results/xss-v13-protocol-prep/candidate-snapshots/x13-018.json,393e2813360f945996d9b88ed462081d21e0da420ab8303932f9465708af0a05,examples/benchmarks/xss-v13-ground-truth.json
x13-019,6,0,negative,4,False,False,False,False,results/xss-v13-protocol-prep/candidate-snapshots/x13-019.json,ce69ef2c58291914378dc04026e1a5b44cc38ea7bb686764f90cf012a2f75311,examples/benchmarks/xss-v13-ground-truth.json
x13-020,7,0,negative,4,False,False,False,False,results/xss-v13-protocol-prep/candidate-snapshots/x13-020.json,c5f62104332788f99b7853d9160a8503f7414c0ecf857d40b0fd9f66d163072b,examples/benchmarks/xss-v13-ground-truth.json
x13-021,6,0,negative,4,False,False,False,False,results/xss-v13-protocol-prep/candidate-snapshots/x13-021.json,d47a25cf215c4c132d7ac61e6de2ffc6bc1a3e77769ba847229000d7bf2bdaac,examples/benchmarks/xss-v13-ground-truth.json
