schedule_index,arm_id,scenario_id,trial_number,candidate_snapshot_sha256,candidate_count,test_budget,top_k,status
1,deterministic_structural,x13-001,1,86e8471347fd33a95b95d6c9fe5114642a906278de47493094d876fa8094c795,4,4,4,planned_not_executed
2,deterministic_structural,x13-002,1,723e005446bf4c12be98e7085e37724d4e69ec75059cb322ca8859a14bd568c1,5,4,4,planned_not_executed
3,deterministic_structural,x13-003,1,62dbda36a4326645655fb54450f9b4bb8bfa9b058858c26c35adbcffe9c1fd24,6,4,4,planned_not_executed
4,deterministic_structural,x13-004,1,53af8029b8c943f1c8ffe835aa1dcffea4bb1100fdecb0dc10b5ab00d631b935,6,4,4,planned_not_executed
5,deterministic_structural,x13-005,1,d522b983952d09db4ed33c62424330b15f204c4bdad49db3db61089333b722e7,7,4,4,planned_not_executed
6,deterministic_structural,x13-006,1,57086366ee4e6fe40273e286c8f16cb2a7da1c2ef325b2708eccbeb6a9f42e7b,8,4,4,planned_not_executed
7,deterministic_structural,x13-007,1,7143565ba5ae0763fd4c7cf0573c3622e4db8472e77c4a9fb6bf2afbeaf6ba07,5,4,4,planned_not_executed
8,deterministic_structural,x13-008,1,a6693cf150b0e3b8c8af74386e00f22b1c1b7623d2392b33dbb1a13de1313819,6,4,4,planned_not_executed
9,deterministic_structural,x13-009,1,778da6048f802c273c194cf6b2dbc6ecd0c7d57f9646e70ada60fde0f56c16fc,4,4,4,planned_not_executed
10,deterministic_structural,x13-010,1,7513a35844fc0c7bfcb603eabe73729e2c3a43f0083202d63612ff34f6ba2ee1,7,4,4,planned_not_executed
11,deterministic_structural,x13-011,1,de5a03bc89c9553f71d032edec99289bfab23f8a723602b32492c154e50a6bbd,6,4,4,planned_not_executed
12,deterministic_structural,x13-012,1,270677e4e3788c27973424a9b973ef534dc56612cbfc40167f8d6a6bf60e6338,8,4,4,planned_not_executed
13,deterministic_structural,x13-013,1,67d9da936d747e2acc61f40bfc9af447b2ee426579ed50f669363529959642c7,5,4,4,planned_not_executed
14,deterministic_structural,x13-014,1,65962a7c0c60cfd95956ba614d977f615f0f745fc2597886a85e622598eccb45,6,4,4,planned_not_executed
15,deterministic_structural,x13-015,1,cec22232e8e515cbd36656d712db9e7280ad387d46533a4e106210df3e8e4af2,7,4,4,planned_not_executed
16,deterministic_structural,x13-016,1,f22cfbfe812d9e28177a61e5b28cb4bd2bab7fa8b7b3166b9a0210d3a053a1ae,5,4,4,planned_not_executed
17,deterministic_structural,x13-017,1,1dc98631204f7f0df6fff6a1e20ba8c4b9e175099982e385d65bc8ebe221d76e,4,4,4,planned_not_executed
18,deterministic_structural,x13-018,1,c40a0e0dd29f9633988987c663d12f98b4c8f84d6c8fd2553043581817d1bab9,5,4,4,planned_not_executed
19,deterministic_structural,x13-019,1,c50f5583c41162ec8bbcf811b416c679c91476b0e41cf5bf9c5086f222adc68d,6,4,4,planned_not_executed
20,deterministic_structural,x13-020,1,4080877d3ba9a92d3b9bf031e52ca0f049eae8a27622ea29c55630bb33deb8be,7,4,4,planned_not_executed
21,deterministic_structural,x13-021,1,2d21f57af9105f9900a5266b372baa9c740d289ccbc6aa531223c3ea31fd381e,6,4,4,planned_not_executed
22,deterministic_structural,x13-022,1,0643b8ac383858f901b8169db98ad2bf17f174edeb8e6797602b6b37eb21c38f,6,4,4,planned_not_executed
23,deterministic_structural,x13-023,1,a302f26a9e7e4a98e869a0129d059927103b33101a6416b60f14fe94d590b848,8,4,4,planned_not_executed
24,deterministic_structural,x13-024,1,07f1e765a2c5d4a41b6e0fe1adf869d37cac0bc409b9409f9c03235f88f6c16c,4,4,4,planned_not_executed
25,proprietary_gpt,x13-001,1,86e8471347fd33a95b95d6c9fe5114642a906278de47493094d876fa8094c795,4,4,4,planned_not_executed
26,proprietary_gpt,x13-002,1,723e005446bf4c12be98e7085e37724d4e69ec75059cb322ca8859a14bd568c1,5,4,4,planned_not_executed
27,proprietary_gpt,x13-003,1,62dbda36a4326645655fb54450f9b4bb8bfa9b058858c26c35adbcffe9c1fd24,6,4,4,planned_not_executed
28,proprietary_gpt,x13-004,1,53af8029b8c943f1c8ffe835aa1dcffea4bb1100fdecb0dc10b5ab00d631b935,6,4,4,planned_not_executed
29,proprietary_gpt,x13-005,1,d522b983952d09db4ed33c62424330b15f204c4bdad49db3db61089333b722e7,7,4,4,planned_not_executed
30,proprietary_gpt,x13-006,1,57086366ee4e6fe40273e286c8f16cb2a7da1c2ef325b2708eccbeb6a9f42e7b,8,4,4,planned_not_executed
31,proprietary_gpt,x13-007,1,7143565ba5ae0763fd4c7cf0573c3622e4db8472e77c4a9fb6bf2afbeaf6ba07,5,4,4,planned_not_executed
32,proprietary_gpt,x13-008,1,a6693cf150b0e3b8c8af74386e00f22b1c1b7623d2392b33dbb1a13de1313819,6,4,4,planned_not_executed
33,proprietary_gpt,x13-009,1,778da6048f802c273c194cf6b2dbc6ecd0c7d57f9646e70ada60fde0f56c16fc,4,4,4,planned_not_executed
34,proprietary_gpt,x13-010,1,7513a35844fc0c7bfcb603eabe73729e2c3a43f0083202d63612ff34f6ba2ee1,7,4,4,planned_not_executed
35,proprietary_gpt,x13-011,1,de5a03bc89c9553f71d032edec99289bfab23f8a723602b32492c154e50a6bbd,6,4,4,planned_not_executed
36,proprietary_gpt,x13-012,1,270677e4e3788c27973424a9b973ef534dc56612cbfc40167f8d6a6bf60e6338,8,4,4,planned_not_executed
37,proprietary_gpt,x13-013,1,67d9da936d747e2acc61f40bfc9af447b2ee426579ed50f669363529959642c7,5,4,4,planned_not_executed
38,proprietary_gpt,x13-014,1,65962a7c0c60cfd95956ba614d977f615f0f745fc2597886a85e622598eccb45,6,4,4,planned_not_executed
39,proprietary_gpt,x13-015,1,cec22232e8e515cbd36656d712db9e7280ad387d46533a4e106210df3e8e4af2,7,4,4,planned_not_executed
40,proprietary_gpt,x13-016,1,f22cfbfe812d9e28177a61e5b28cb4bd2bab7fa8b7b3166b9a0210d3a053a1ae,5,4,4,planned_not_executed
41,proprietary_gpt,x13-017,1,1dc98631204f7f0df6fff6a1e20ba8c4b9e175099982e385d65bc8ebe221d76e,4,4,4,planned_not_executed
42,proprietary_gpt,x13-018,1,c40a0e0dd29f9633988987c663d12f98b4c8f84d6c8fd2553043581817d1bab9,5,4,4,planned_not_executed
43,proprietary_gpt,x13-019,1,c50f5583c41162ec8bbcf811b416c679c91476b0e41cf5bf9c5086f222adc68d,6,4,4,planned_not_executed
44,proprietary_gpt,x13-020,1,4080877d3ba9a92d3b9bf031e52ca0f049eae8a27622ea29c55630bb33deb8be,7,4,4,planned_not_executed
45,proprietary_gpt,x13-021,1,2d21f57af9105f9900a5266b372baa9c740d289ccbc6aa531223c3ea31fd381e,6,4,4,planned_not_executed
46,proprietary_gpt,x13-022,1,0643b8ac383858f901b8169db98ad2bf17f174edeb8e6797602b6b37eb21c38f,6,4,4,planned_not_executed
47,proprietary_gpt,x13-023,1,a302f26a9e7e4a98e869a0129d059927103b33101a6416b60f14fe94d590b848,8,4,4,planned_not_executed
48,proprietary_gpt,x13-024,1,07f1e765a2c5d4a41b6e0fe1adf869d37cac0bc409b9409f9c03235f88f6c16c,4,4,4,planned_not_executed
49,proprietary_gpt,x13-001,2,86e8471347fd33a95b95d6c9fe5114642a906278de47493094d876fa8094c795,4,4,4,planned_not_executed
50,proprietary_gpt,x13-002,2,723e005446bf4c12be98e7085e37724d4e69ec75059cb322ca8859a14bd568c1,5,4,4,planned_not_executed
51,proprietary_gpt,x13-003,2,62dbda36a4326645655fb54450f9b4bb8bfa9b058858c26c35adbcffe9c1fd24,6,4,4,planned_not_executed
52,proprietary_gpt,x13-004,2,53af8029b8c943f1c8ffe835aa1dcffea4bb1100fdecb0dc10b5ab00d631b935,6,4,4,planned_not_executed
53,proprietary_gpt,x13-005,2,d522b983952d09db4ed33c62424330b15f204c4bdad49db3db61089333b722e7,7,4,4,planned_not_executed
54,proprietary_gpt,x13-006,2,57086366ee4e6fe40273e286c8f16cb2a7da1c2ef325b2708eccbeb6a9f42e7b,8,4,4,planned_not_executed
55,proprietary_gpt,x13-007,2,7143565ba5ae0763fd4c7cf0573c3622e4db8472e77c4a9fb6bf2afbeaf6ba07,5,4,4,planned_not_executed
56,proprietary_gpt,x13-008,2,a6693cf150b0e3b8c8af74386e00f22b1c1b7623d2392b33dbb1a13de1313819,6,4,4,planned_not_executed
57,proprietary_gpt,x13-009,2,778da6048f802c273c194cf6b2dbc6ecd0c7d57f9646e70ada60fde0f56c16fc,4,4,4,planned_not_executed
58,proprietary_gpt,x13-010,2,7513a35844fc0c7bfcb603eabe73729e2c3a43f0083202d63612ff34f6ba2ee1,7,4,4,planned_not_executed
59,proprietary_gpt,x13-011,2,de5a03bc89c9553f71d032edec99289bfab23f8a723602b32492c154e50a6bbd,6,4,4,planned_not_executed
60,proprietary_gpt,x13-012,2,270677e4e3788c27973424a9b973ef534dc56612cbfc40167f8d6a6bf60e6338,8,4,4,planned_not_executed
61,proprietary_gpt,x13-013,2,67d9da936d747e2acc61f40bfc9af447b2ee426579ed50f669363529959642c7,5,4,4,planned_not_executed
62,proprietary_gpt,x13-014,2,65962a7c0c60cfd95956ba614d977f615f0f745fc2597886a85e622598eccb45,6,4,4,planned_not_executed
63,proprietary_gpt,x13-015,2,cec22232e8e515cbd36656d712db9e7280ad387d46533a4e106210df3e8e4af2,7,4,4,planned_not_executed
64,proprietary_gpt,x13-016,2,f22cfbfe812d9e28177a61e5b28cb4bd2bab7fa8b7b3166b9a0210d3a053a1ae,5,4,4,planned_not_executed
65,proprietary_gpt,x13-017,2,1dc98631204f7f0df6fff6a1e20ba8c4b9e175099982e385d65bc8ebe221d76e,4,4,4,planned_not_executed
66,proprietary_gpt,x13-018,2,c40a0e0dd29f9633988987c663d12f98b4c8f84d6c8fd2553043581817d1bab9,5,4,4,planned_not_executed
67,proprietary_gpt,x13-019,2,c50f5583c41162ec8bbcf811b416c679c91476b0e41cf5bf9c5086f222adc68d,6,4,4,planned_not_executed
68,proprietary_gpt,x13-020,2,4080877d3ba9a92d3b9bf031e52ca0f049eae8a27622ea29c55630bb33deb8be,7,4,4,planned_not_executed
69,proprietary_gpt,x13-021,2,2d21f57af9105f9900a5266b372baa9c740d289ccbc6aa531223c3ea31fd381e,6,4,4,planned_not_executed
70,proprietary_gpt,x13-022,2,0643b8ac383858f901b8169db98ad2bf17f174edeb8e6797602b6b37eb21c38f,6,4,4,planned_not_executed
71,proprietary_gpt,x13-023,2,a302f26a9e7e4a98e869a0129d059927103b33101a6416b60f14fe94d590b848,8,4,4,planned_not_executed
