scenario_id,candidate_count,test_budget,top_k,scheduled_ranking_calls,max_candidate_tests,candidate_input_sha256
x13-001,4,4,4,11,44,86e8471347fd33a95b95d6c9fe5114642a906278de47493094d876fa8094c795
x13-002,5,4,4,11,44,723e005446bf4c12be98e7085e37724d4e69ec75059cb322ca8859a14bd568c1
x13-003,6,4,4,11,44,62dbda36a4326645655fb54450f9b4bb8bfa9b058858c26c35adbcffe9c1fd24
x13-004,6,4,4,11,44,53af8029b8c943f1c8ffe835aa1dcffea4bb1100fdecb0dc10b5ab00d631b935
x13-005,7,4,4,11,44,d522b983952d09db4ed33c62424330b15f204c4bdad49db3db61089333b722e7
x13-006,8,4,4,11,44,57086366ee4e6fe40273e286c8f16cb2a7da1c2ef325b2708eccbeb6a9f42e7b
x13-007,5,4,4,11,44,7143565ba5ae0763fd4c7cf0573c3622e4db8472e77c4a9fb6bf2afbeaf6ba07
x13-008,6,4,4,11,44,a6693cf150b0e3b8c8af74386e00f22b1c1b7623d2392b33dbb1a13de1313819
x13-009,4,4,4,11,44,778da6048f802c273c194cf6b2dbc6ecd0c7d57f9646e70ada60fde0f56c16fc
x13-010,7,4,4,11,44,7513a35844fc0c7bfcb603eabe73729e2c3a43f0083202d63612ff34f6ba2ee1
x13-011,6,4,4,11,44,de5a03bc89c9553f71d032edec99289bfab23f8a723602b32492c154e50a6bbd
x13-012,8,4,4,11,44,270677e4e3788c27973424a9b973ef534dc56612cbfc40167f8d6a6bf60e6338
x13-013,5,4,4,11,44,67d9da936d747e2acc61f40bfc9af447b2ee426579ed50f669363529959642c7
x13-014,6,4,4,11,44,65962a7c0c60cfd95956ba614d977f615f0f745fc2597886a85e622598eccb45
x13-015,7,4,4,11,44,cec22232e8e515cbd36656d712db9e7280ad387d46533a4e106210df3e8e4af2
x13-016,5,4,4,11,44,f22cfbfe812d9e28177a61e5b28cb4bd2bab7fa8b7b3166b9a0210d3a053a1ae
x13-017,4,4,4,11,44,1dc98631204f7f0df6fff6a1e20ba8c4b9e175099982e385d65bc8ebe221d76e
x13-018,5,4,4,11,44,c40a0e0dd29f9633988987c663d12f98b4c8f84d6c8fd2553043581817d1bab9
x13-019,6,4,4,11,44,c50f5583c41162ec8bbcf811b416c679c91476b0e41cf5bf9c5086f222adc68d
x13-020,7,4,4,11,44,4080877d3ba9a92d3b9bf031e52ca0f049eae8a27622ea29c55630bb33deb8be
x13-021,6,4,4,11,44,2d21f57af9105f9900a5266b372baa9c740d289ccbc6aa531223c3ea31fd381e
x13-022,6,4,4,11,44,0643b8ac383858f901b8169db98ad2bf17f174edeb8e6797602b6b37eb21c38f
x13-023,8,4,4,11,44,a302f26a9e7e4a98e869a0129d059927103b33101a6416b60f14fe94d590b848
x13-024,4,4,4,11,44,07f1e765a2c5d4a41b6e0fe1adf869d37cac0bc409b9409f9c03235f88f6c16c
