arm_id,scenario_id,trial_number,candidate_count,scenario_has_vulnerability,valid_ranking,provider_failed,malformed_or_validation_error,validation_error_count,vulnerable_candidate_rank,top_1_hit,top_k_hit,reciprocal_rank,tested_candidate_count,verified_finding,latency_ms
deterministic_structural,x13-001,1,4,True,True,False,False,0,1,True,True,1.0,1,True,not_available
deterministic_structural,x13-002,1,5,True,True,False,False,0,5,False,False,0.2,4,False,not_available
deterministic_structural,x13-003,1,6,True,True,False,False,0,4,False,True,0.25,4,True,not_available
deterministic_structural,x13-004,1,6,True,True,False,False,0,4,False,True,0.25,4,True,not_available
deterministic_structural,x13-005,1,7,True,True,False,False,0,1,True,True,1.0,1,True,not_available
deterministic_structural,x13-006,1,8,True,True,False,False,0,8,False,False,0.125,4,False,not_available
deterministic_structural,x13-007,1,5,True,True,False,False,0,1,True,True,1.0,1,True,not_available
deterministic_structural,x13-008,1,6,True,True,False,False,0,5,False,False,0.2,4,False,not_available
deterministic_structural,x13-009,1,4,True,True,False,False,0,3,False,True,0.3333333333333333,3,True,not_available
deterministic_structural,x13-010,1,7,True,True,False,False,0,1,True,True,1.0,1,True,not_available
deterministic_structural,x13-011,1,6,True,True,False,False,0,5,False,False,0.2,4,False,not_available
deterministic_structural,x13-012,1,8,True,True,False,False,0,8,False,False,0.125,4,False,not_available
deterministic_structural,x13-013,1,5,True,True,False,False,0,4,False,True,0.25,4,True,not_available
deterministic_structural,x13-014,1,6,True,True,False,False,0,3,False,True,0.3333333333333333,3,True,not_available
deterministic_structural,x13-015,1,7,True,True,False,False,0,2,False,True,0.5,2,True,not_available
deterministic_structural,x13-016,1,5,True,True,False,False,0,4,False,True,0.25,4,True,not_available
deterministic_structural,x13-017,1,4,False,True,False,False,0,not_applicable,not_applicable,not_applicable,not_applicable,4,False,not_available
deterministic_structural,x13-018,1,5,False,True,False,False,0,not_applicable,not_applicable,not_applicable,not_applicable,4,False,not_available
deterministic_structural,x13-019,1,6,False,True,False,False,0,not_applicable,not_applicable,not_applicable,not_applicable,4,False,not_available
deterministic_structural,x13-020,1,7,False,True,False,False,0,not_applicable,not_applicable,not_applicable,not_applicable,4,False,not_available
deterministic_structural,x13-021,1,6,False,True,False,False,0,not_applicable,not_applicable,not_applicable,not_applicable,4,False,not_available
deterministic_structural,x13-022,1,6,False,True,False,False,0,not_applicable,not_applicable,not_applicable,not_applicable,4,False,not_available
deterministic_structural,x13-023,1,8,False,True,False,False,0,not_applicable,not_applicable,not_applicable,not_applicable,4,False,not_available
deterministic_structural,x13-024,1,4,False,True,False,False,0,not_applicable,not_applicable,not_applicable,not_applicable,4,False,not_available
local_qwen,x13-001,1,4,True,True,False,False,0,1,True,True,1.0,1,True,122794
local_qwen,x13-001,2,4,True,True,False,False,0,1,True,True,1.0,1,True,71701
local_qwen,x13-001,3,4,True,True,False,False,0,1,True,True,1.0,1,True,52521
local_qwen,x13-001,4,4,True,True,False,False,0,1,True,True,1.0,1,True,50242
local_qwen,x13-001,5,4,True,True,False,False,0,1,True,True,1.0,1,True,71973
local_qwen,x13-002,1,5,True,True,False,False,0,5,False,False,0.2,4,False,133045
local_qwen,x13-002,2,5,True,True,False,False,0,5,False,False,0.2,4,False,106197
local_qwen,x13-002,3,5,True,True,False,False,0,5,False,False,0.2,4,False,85156
local_qwen,x13-002,4,5,True,True,False,False,0,5,False,False,0.2,4,False,77486
local_qwen,x13-002,5,5,True,True,False,False,0,5,False,False,0.2,4,False,106364
local_qwen,x13-003,1,6,True,True,False,False,0,4,False,True,0.25,4,True,118570
local_qwen,x13-003,2,6,True,True,False,False,0,4,False,True,0.25,4,True,108237
local_qwen,x13-003,3,6,True,True,False,False,0,4,False,True,0.25,4,True,74684
local_qwen,x13-003,4,6,True,True,False,False,0,4,False,True,0.25,4,True,73743
local_qwen,x13-003,5,6,True,True,False,False,0,4,False,True,0.25,4,True,103034
local_qwen,x13-004,1,6,True,True,False,False,0,1,True,True,1.0,1,True,132693
local_qwen,x13-004,2,6,True,True,False,False,0,1,True,True,1.0,1,True,116875
local_qwen,x13-004,3,6,True,True,False,False,0,1,True,True,1.0,1,True,83599
local_qwen,x13-004,4,6,True,True,False,False,0,1,True,True,1.0,1,True,83059
local_qwen,x13-004,5,6,True,True,False,False,0,1,True,True,1.0,1,True,116406
local_qwen,x13-005,1,7,True,True,False,False,0,1,True,True,1.0,1,True,171434
local_qwen,x13-005,2,7,True,True,False,False,0,1,True,True,1.0,1,True,153160
local_qwen,x13-005,3,7,True,True,False,False,0,1,True,True,1.0,1,True,111071
local_qwen,x13-005,4,7,True,True,False,False,0,1,True,True,1.0,1,True,111009
local_qwen,x13-005,5,7,True,True,False,False,0,1,True,True,1.0,1,True,123393
local_qwen,x13-006,1,8,True,True,False,False,0,8,False,False,0.125,4,False,194949
local_qwen,x13-006,2,8,True,True,False,False,0,8,False,False,0.125,4,False,165614
local_qwen,x13-006,3,8,True,True,False,False,0,8,False,False,0.125,4,False,117878
local_qwen,x13-006,4,8,True,True,False,False,0,8,False,False,0.125,4,False,188003
local_qwen,x13-006,5,8,True,True,False,False,0,8,False,False,0.125,4,False,124142
local_qwen,x13-007,1,5,True,True,False,False,0,1,True,True,1.0,1,True,116775
local_qwen,x13-007,2,5,True,True,False,False,0,1,True,True,1.0,1,True,105020
local_qwen,x13-007,3,5,True,True,False,False,0,1,True,True,1.0,1,True,76327
local_qwen,x13-007,4,5,True,True,False,False,0,1,True,True,1.0,1,True,107006
local_qwen,x13-007,5,5,True,True,False,False,0,1,True,True,1.0,1,True,79324
local_qwen,x13-008,1,6,True,True,False,False,0,3,False,True,0.3333333333333333,3,True,134519
local_qwen,x13-008,2,6,True,True,False,False,0,3,False,True,0.3333333333333333,3,True,116593
local_qwen,x13-008,3,6,True,True,False,False,0,3,False,True,0.3333333333333333,3,True,85703
local_qwen,x13-008,4,6,True,True,False,False,0,3,False,True,0.3333333333333333,3,True,131176
local_qwen,x13-008,5,6,True,True,False,False,0,3,False,True,0.3333333333333333,3,True,90672
local_qwen,x13-009,1,4,True,True,False,False,0,3,False,True,0.3333333333333333,3,True,84455
local_qwen,x13-009,2,4,True,True,False,False,0,3,False,True,0.3333333333333333,3,True,72253
local_qwen,x13-009,3,4,True,True,False,False,0,3,False,True,0.3333333333333333,3,True,50639
local_qwen,x13-009,4,4,True,True,False,False,0,3,False,True,0.3333333333333333,3,True,78633
local_qwen,x13-009,5,4,True,True,False,False,0,3,False,True,0.3333333333333333,3,True,54256
local_qwen,x13-010,1,7,True,True,False,False,0,1,True,True,1.0,1,True,153458
local_qwen,x13-010,2,7,True,True,False,False,0,1,True,True,1.0,1,True,137596
local_qwen,x13-010,3,7,True,True,False,False,0,1,True,True,1.0,1,True,98624
local_qwen,x13-010,4,7,True,True,False,False,0,1,True,True,1.0,1,True,177904
local_qwen,x13-010,5,7,True,True,False,False,0,1,True,True,1.0,1,True,110879
local_qwen,x13-011,1,6,True,True,False,False,0,5,False,False,0.2,4,False,127122
local_qwen,x13-011,2,6,True,True,False,False,0,5,False,False,0.2,4,False,113386
local_qwen,x13-011,3,6,True,True,False,False,0,5,False,False,0.2,4,False,82261
local_qwen,x13-011,4,6,True,True,False,False,0,5,False,False,0.2,4,False,133620
local_qwen,x13-011,5,6,True,True,False,False,0,5,False,False,0.2,4,False,87767
local_qwen,x13-012,1,8,True,True,False,False,0,8,False,False,0.125,4,False,194502
local_qwen,x13-012,2,8,True,True,False,False,0,8,False,False,0.125,4,False,170205
local_qwen,x13-012,3,8,True,True,False,False,0,8,False,False,0.125,4,False,124849
local_qwen,x13-012,4,8,True,True,False,False,0,8,False,False,0.125,4,False,192688
local_qwen,x13-012,5,8,True,True,False,False,0,8,False,False,0.125,4,False,130801
local_qwen,x13-013,1,5,True,True,False,False,0,2,False,True,0.5,2,True,116724
local_qwen,x13-013,2,5,True,True,False,False,0,2,False,True,0.5,2,True,105225
local_qwen,x13-013,3,5,True,True,False,False,0,2,False,True,0.5,2,True,76432
local_qwen,x13-013,4,5,True,True,False,False,0,2,False,True,0.5,2,True,122117
local_qwen,x13-013,5,5,True,True,False,False,0,2,False,True,0.5,2,True,79763
local_qwen,x13-014,1,6,True,True,False,False,0,3,False,True,0.3333333333333333,3,True,141234
local_qwen,x13-014,2,6,True,True,False,False,0,3,False,True,0.3333333333333333,3,True,131404
local_qwen,x13-014,3,6,True,True,False,False,0,3,False,True,0.3333333333333333,3,True,92997
local_qwen,x13-014,4,6,True,True,False,False,0,3,False,True,0.3333333333333333,3,True,142486
local_qwen,x13-014,5,6,True,True,False,False,0,3,False,True,0.3333333333333333,3,True,96733
local_qwen,x13-015,1,7,True,True,False,False,0,3,False,True,0.3333333333333333,3,True,169630
local_qwen,x13-015,2,7,True,True,False,False,0,3,False,True,0.3333333333333333,3,True,153231
local_qwen,x13-015,3,7,True,True,False,False,0,3,False,True,0.3333333333333333,3,True,136456
local_qwen,x13-015,4,7,True,True,False,False,0,3,False,True,0.3333333333333333,3,True,171779
local_qwen,x13-015,5,7,True,True,False,False,0,3,False,True,0.3333333333333333,3,True,114921
local_qwen,x13-016,1,5,True,True,False,False,0,5,False,False,0.2,4,False,116628
local_qwen,x13-016,2,5,True,True,False,False,0,5,False,False,0.2,4,False,103785
local_qwen,x13-016,3,5,True,True,False,False,0,5,False,False,0.2,4,False,87225
