scenario_id,seed_count,candidate_count,test_budget,top_k,snapshot_path,snapshot_sha256,candidate_input_sha256
x13-001,3,4,4,4,candidate-snapshots/x13-001.json,cec87b69b1e7979014798d595419bc6200e8f8ffb496c0e9b1380676edc0d200,86e8471347fd33a95b95d6c9fe5114642a906278de47493094d876fa8094c795
x13-002,3,5,4,4,candidate-snapshots/x13-002.json,bc24344257e4415d7e904688ac55dd0581b26a4382c50e2d43686612eb2ad544,723e005446bf4c12be98e7085e37724d4e69ec75059cb322ca8859a14bd568c1
x13-003,3,6,4,4,candidate-snapshots/x13-003.json,0cebf7058380f6888a2ae9d999a9127ea9c88077dbca55160e5e5d07ae5f141c,62dbda36a4326645655fb54450f9b4bb8bfa9b058858c26c35adbcffe9c1fd24
x13-004,3,6,4,4,candidate-snapshots/x13-004.json,0d7de2362b8eccccb555a2986667fc9e2ca92f0bef647a05b4fb42880a4dcfd0,53af8029b8c943f1c8ffe835aa1dcffea4bb1100fdecb0dc10b5ab00d631b935
x13-005,3,7,4,4,candidate-snapshots/x13-005.json,462f8e551c2125f42d6748f5b82e34e6dcb8ec2e61ced83f44678637eafcbf4c,d522b983952d09db4ed33c62424330b15f204c4bdad49db3db61089333b722e7
x13-006,3,8,4,4,candidate-snapshots/x13-006.json,7f019c02dc8f39ef2df466624ac9ee18dd06d07581169c6cf93047f8280c1fc6,57086366ee4e6fe40273e286c8f16cb2a7da1c2ef325b2708eccbeb6a9f42e7b
x13-007,3,5,4,4,candidate-snapshots/x13-007.json,cebaadc1acf8f7f7a1b3922ba925fc8573e15698078f6f1e4b919316004d3229,7143565ba5ae0763fd4c7cf0573c3622e4db8472e77c4a9fb6bf2afbeaf6ba07
x13-008,3,6,4,4,candidate-snapshots/x13-008.json,be3f071709dc182ecd47f261edeee6ef727e8604bf0d6b06c60f08001a59c9a0,a6693cf150b0e3b8c8af74386e00f22b1c1b7623d2392b33dbb1a13de1313819
x13-009,3,4,4,4,candidate-snapshots/x13-009.json,bd7ce795c18887c917c91c9d8fb56eb1d083e54727fab846dfd139b626d75e47,778da6048f802c273c194cf6b2dbc6ecd0c7d57f9646e70ada60fde0f56c16fc
x13-010,3,7,4,4,candidate-snapshots/x13-010.json,7cefff21444f6b13803cb8a91939b63f441a8d291aaf989fbb94340050a0abc5,7513a35844fc0c7bfcb603eabe73729e2c3a43f0083202d63612ff34f6ba2ee1
x13-011,3,6,4,4,candidate-snapshots/x13-011.json,3e005b08d2622a0271711847876211481df224e26190ae86bc4ba77352194b75,de5a03bc89c9553f71d032edec99289bfab23f8a723602b32492c154e50a6bbd
x13-012,4,8,4,4,candidate-snapshots/x13-012.json,075cf70082364c0e70fa591fea45fa3a2530b2beb79d9da8f5ace223dcfd465e,270677e4e3788c27973424a9b973ef534dc56612cbfc40167f8d6a6bf60e6338
x13-013,3,5,4,4,candidate-snapshots/x13-013.json,209e7332153d943c382475cf2545573004a4f501656acdfa5b986fcfcdc57978,67d9da936d747e2acc61f40bfc9af447b2ee426579ed50f669363529959642c7
x13-014,3,6,4,4,candidate-snapshots/x13-014.json,28ff9af599c874d4e43c65d5f9c2d31bf74ddc4de0fb2d81c3bfdc84cadff4e7,65962a7c0c60cfd95956ba614d977f615f0f745fc2597886a85e622598eccb45
x13-015,3,7,4,4,candidate-snapshots/x13-015.json,2f27c361e997c902d09325a5a604ea9d7016e49c27af153e6f7afc9fa9b54ad8,cec22232e8e515cbd36656d712db9e7280ad387d46533a4e106210df3e8e4af2
x13-016,3,5,4,4,candidate-snapshots/x13-016.json,cfc2fc98e0ee2155d35b8690cdf4fad192ee5281d30145b273913af84ec9888d,f22cfbfe812d9e28177a61e5b28cb4bd2bab7fa8b7b3166b9a0210d3a053a1ae
x13-017,2,4,4,4,candidate-snapshots/x13-017.json,d38d8eec81ece4fed15c6e4c12a60d22b89086dfed996c0ad75e9fa5c693300b,1dc98631204f7f0df6fff6a1e20ba8c4b9e175099982e385d65bc8ebe221d76e
x13-018,3,5,4,4,candidate-snapshots/x13-018.json,de0bf26ce84fc1e45c14a4ee8d9cb6f1c2c658880f35855eeb5427286e4685d3,c40a0e0dd29f9633988987c663d12f98b4c8f84d6c8fd2553043581817d1bab9
x13-019,3,6,4,4,candidate-snapshots/x13-019.json,fb6255f9bc760839945e1ed578ed55ac7e6b7793b366e8b1527be7ea25f5404a,c50f5583c41162ec8bbcf811b416c679c91476b0e41cf5bf9c5086f222adc68d
x13-020,3,7,4,4,candidate-snapshots/x13-020.json,5bf1b7202d5b4d4cb8198e59924f3e9f7f6eaa06a315631b84527e676d70edde,4080877d3ba9a92d3b9bf031e52ca0f049eae8a27622ea29c55630bb33deb8be
